evidence_id,observation_id,finding_id,group,area,source_type,source_ref,captured_at,represented_period,claim,scope_limit,directness,recency,representativeness,corroboration,evidence_state,confidence,conflict_group,universe_definition,enumerator_authority,completeness_basis,follow_up,source_component,native_id,synthetic,source_sha256,extensions_json
EV-SYN-ESS-DEP-MET-810,OBS-SYN-ESS-DEP-810,FND-SYN-ESS-DEP-810,ESS,DEP,deployment_metric_record,revenue/uiowa_rfq_18649_delivery_metrics/fixtures/synthetic_deployments.csv#DEP-001,2026-09-01T12:00:00Z,2026-09-01,Synthetic deployment DEP-001 for ESS was recorded at 2026-09-01T12:00:00Z; intervention_required=false; unplanned_rework=false.,"One synthetic deployment event; not a population metric, maturity conclusion, or real University observation.",DIRECT,CURRENT,SINGLE,SAME_SYSTEM,SUPPORTING,MODERATE,,,,,Define the deployment population and period before aggregating this event into a broader finding.,delivery_metrics,DEP-001,true,fc7469008c5b2eba5d41cae13667d376a6d6acedbddf04dceb16ceee363b482d,"{""native_id"":""DEP-001"",""native_record"":{""commit_at"":""2026-09-01T09:00:00Z"",""deployed_at"":""2026-09-01T12:00:00Z"",""deployment_id"":""DEP-001"",""intervention_required"":""false"",""notes"":""Planned production deployment"",""recovered_at"":"""",""service"":""synthetic-registration"",""unplanned_rework"":""false""},""source_component"":""delivery_metrics"",""source_sha256"":""fc7469008c5b2eba5d41cae13667d376a6d6acedbddf04dceb16ceee363b482d"",""synthetic"":true}"
EV-SYN-ESS-DEP-MET-811,OBS-SYN-ESS-DEP-811,FND-SYN-ESS-DEP-811,ESS,DEP,deployment_metric_record,revenue/uiowa_rfq_18649_delivery_metrics/fixtures/synthetic_deployments.csv#DEP-002,2026-09-02T14:00:00Z,2026-09-02,Synthetic deployment DEP-002 for ESS was recorded at 2026-09-02T14:00:00Z; intervention_required=true; unplanned_rework=false.,"One synthetic deployment event; not a population metric, maturity conclusion, or real University observation.",DIRECT,CURRENT,SINGLE,SAME_SYSTEM,SUPPORTING,MODERATE,,,,,Define the deployment population and period before aggregating this event into a broader finding.,delivery_metrics,DEP-002,true,fc7469008c5b2eba5d41cae13667d376a6d6acedbddf04dceb16ceee363b482d,"{""native_id"":""DEP-002"",""native_record"":{""commit_at"":""2026-09-02T08:00:00Z"",""deployed_at"":""2026-09-02T14:00:00Z"",""deployment_id"":""DEP-002"",""intervention_required"":""true"",""notes"":""Deployment required immediate intervention"",""recovered_at"":""2026-09-02T18:00:00Z"",""service"":""synthetic-registration"",""unplanned_rework"":""false""},""source_component"":""delivery_metrics"",""source_sha256"":""fc7469008c5b2eba5d41cae13667d376a6d6acedbddf04dceb16ceee363b482d"",""synthetic"":true}"
EV-SYN-ESS-DEP-MET-812,OBS-SYN-ESS-DEP-812,FND-SYN-ESS-DEP-812,ESS,DEP,deployment_metric_record,revenue/uiowa_rfq_18649_delivery_metrics/fixtures/synthetic_deployments.csv#DEP-003,2026-09-03T10:00:00Z,2026-09-03,Synthetic deployment DEP-003 for ESS was recorded at 2026-09-03T10:00:00Z; intervention_required=false; unplanned_rework=true.,"One synthetic deployment event; not a population metric, maturity conclusion, or real University observation.",DIRECT,CURRENT,SINGLE,SAME_SYSTEM,SUPPORTING,MODERATE,,,,,Define the deployment population and period before aggregating this event into a broader finding.,delivery_metrics,DEP-003,true,fc7469008c5b2eba5d41cae13667d376a6d6acedbddf04dceb16ceee363b482d,"{""native_id"":""DEP-003"",""native_record"":{""commit_at"":""2026-09-02T17:00:00Z"",""deployed_at"":""2026-09-03T10:00:00Z"",""deployment_id"":""DEP-003"",""intervention_required"":""false"",""notes"":""Unplanned deployment for user-facing production defect"",""recovered_at"":"""",""service"":""synthetic-registration"",""unplanned_rework"":""true""},""source_component"":""delivery_metrics"",""source_sha256"":""fc7469008c5b2eba5d41cae13667d376a6d6acedbddf04dceb16ceee363b482d"",""synthetic"":true}"
EV-SYN-ESS-DEP-MET-813,OBS-SYN-ESS-DEP-813,FND-SYN-ESS-DEP-813,ESS,DEP,deployment_metric_record,revenue/uiowa_rfq_18649_delivery_metrics/fixtures/synthetic_deployments.csv#DEP-004,2026-09-05T12:00:00Z,2026-09-05,Synthetic deployment DEP-004 for ESS was recorded at 2026-09-05T12:00:00Z; intervention_required=false; unplanned_rework=false.,"One synthetic deployment event; not a population metric, maturity conclusion, or real University observation.",DIRECT,CURRENT,SINGLE,SAME_SYSTEM,SUPPORTING,MODERATE,,,,,Define the deployment population and period before aggregating this event into a broader finding.,delivery_metrics,DEP-004,true,fc7469008c5b2eba5d41cae13667d376a6d6acedbddf04dceb16ceee363b482d,"{""native_id"":""DEP-004"",""native_record"":{""commit_at"":""2026-09-05T09:00:00Z"",""deployed_at"":""2026-09-05T12:00:00Z"",""deployment_id"":""DEP-004"",""intervention_required"":""false"",""notes"":""Planned production deployment"",""recovered_at"":"""",""service"":""synthetic-registration"",""unplanned_rework"":""false""},""source_component"":""delivery_metrics"",""source_sha256"":""fc7469008c5b2eba5d41cae13667d376a6d6acedbddf04dceb16ceee363b482d"",""synthetic"":true}"
EV-SYN-ESS-DEP-MET-814,OBS-SYN-ESS-DEP-814,FND-SYN-ESS-DEP-814,ESS,DEP,deployment_metric_record,revenue/uiowa_rfq_18649_delivery_metrics/fixtures/synthetic_deployments.csv#DEP-005,2026-09-08T12:00:00Z,2026-09-08,Synthetic deployment DEP-005 for ESS was recorded at 2026-09-08T12:00:00Z; intervention_required=true; unplanned_rework=false.,"One synthetic deployment event; not a population metric, maturity conclusion, or real University observation.",DIRECT,CURRENT,SINGLE,SAME_SYSTEM,SUPPORTING,MODERATE,,,,,Define the deployment population and period before aggregating this event into a broader finding.,delivery_metrics,DEP-005,true,fc7469008c5b2eba5d41cae13667d376a6d6acedbddf04dceb16ceee363b482d,"{""native_id"":""DEP-005"",""native_record"":{""commit_at"":""2026-09-07T12:00:00Z"",""deployed_at"":""2026-09-08T12:00:00Z"",""deployment_id"":""DEP-005"",""intervention_required"":""true"",""notes"":""Deployment required immediate intervention"",""recovered_at"":""2026-09-08T14:00:00Z"",""service"":""synthetic-registration"",""unplanned_rework"":""false""},""source_component"":""delivery_metrics"",""source_sha256"":""fc7469008c5b2eba5d41cae13667d376a6d6acedbddf04dceb16ceee363b482d"",""synthetic"":true}"
EV-SYN-ESS-DEP-MET-815,OBS-SYN-ESS-DEP-815,FND-SYN-ESS-DEP-815,ESS,DEP,deployment_metric_record,revenue/uiowa_rfq_18649_delivery_metrics/fixtures/synthetic_deployments.csv#DEP-006,2026-09-08T15:00:00Z,2026-09-08,Synthetic deployment DEP-006 for ESS was recorded at 2026-09-08T15:00:00Z; intervention_required=false; unplanned_rework=true.,"One synthetic deployment event; not a population metric, maturity conclusion, or real University observation.",DIRECT,CURRENT,SINGLE,SAME_SYSTEM,SUPPORTING,MODERATE,,,,,Define the deployment population and period before aggregating this event into a broader finding.,delivery_metrics,DEP-006,true,fc7469008c5b2eba5d41cae13667d376a6d6acedbddf04dceb16ceee363b482d,"{""native_id"":""DEP-006"",""native_record"":{""commit_at"":""2026-09-08T13:00:00Z"",""deployed_at"":""2026-09-08T15:00:00Z"",""deployment_id"":""DEP-006"",""intervention_required"":""false"",""notes"":""Unplanned deployment for user-facing production defect"",""recovered_at"":"""",""service"":""synthetic-registration"",""unplanned_rework"":""true""},""source_component"":""delivery_metrics"",""source_sha256"":""fc7469008c5b2eba5d41cae13667d376a6d6acedbddf04dceb16ceee363b482d"",""synthetic"":true}"
EV-SYN-ESS-DEP-MET-816,OBS-SYN-ESS-DEP-816,FND-SYN-ESS-DEP-816,ESS,DEP,deployment_metric_record,revenue/uiowa_rfq_18649_delivery_metrics/fixtures/synthetic_deployments.csv#DEP-007,2026-09-12T10:00:00Z,2026-09-12,Synthetic deployment DEP-007 for ESS was recorded at 2026-09-12T10:00:00Z; intervention_required=false; unplanned_rework=false.,"One synthetic deployment event; not a population metric, maturity conclusion, or real University observation.",DIRECT,CURRENT,SINGLE,SAME_SYSTEM,SUPPORTING,MODERATE,,,,,Define the deployment population and period before aggregating this event into a broader finding.,delivery_metrics,DEP-007,true,fc7469008c5b2eba5d41cae13667d376a6d6acedbddf04dceb16ceee363b482d,"{""native_id"":""DEP-007"",""native_record"":{""commit_at"":""2026-09-10T10:00:00Z"",""deployed_at"":""2026-09-12T10:00:00Z"",""deployment_id"":""DEP-007"",""intervention_required"":""false"",""notes"":""Longer synthetic lead-time example"",""recovered_at"":"""",""service"":""synthetic-registration"",""unplanned_rework"":""false""},""source_component"":""delivery_metrics"",""source_sha256"":""fc7469008c5b2eba5d41cae13667d376a6d6acedbddf04dceb16ceee363b482d"",""synthetic"":true}"
EV-SYN-ESS-DEP-MET-817,OBS-SYN-ESS-DEP-817,FND-SYN-ESS-DEP-817,ESS,DEP,deployment_metric_record,revenue/uiowa_rfq_18649_delivery_metrics/fixtures/synthetic_deployments.csv#DEP-008,2026-09-14T08:00:00Z,2026-09-14,Synthetic deployment DEP-008 for ESS was recorded at 2026-09-14T08:00:00Z; intervention_required=false; unplanned_rework=false.,"One synthetic deployment event; not a population metric, maturity conclusion, or real University observation.",DIRECT,CURRENT,SINGLE,SAME_SYSTEM,SUPPORTING,MODERATE,,,,,Define the deployment population and period before aggregating this event into a broader finding.,delivery_metrics,DEP-008,true,fc7469008c5b2eba5d41cae13667d376a6d6acedbddf04dceb16ceee363b482d,"{""native_id"":""DEP-008"",""native_record"":{""commit_at"":""2026-09-13T16:00:00Z"",""deployed_at"":""2026-09-14T08:00:00Z"",""deployment_id"":""DEP-008"",""intervention_required"":""false"",""notes"":""Planned production deployment"",""recovered_at"":"""",""service"":""synthetic-registration"",""unplanned_rework"":""false""},""source_component"":""delivery_metrics"",""source_sha256"":""fc7469008c5b2eba5d41cae13667d376a6d6acedbddf04dceb16ceee363b482d"",""synthetic"":true}"
EV-SYN-ESS-SEC-EVT-840,OBS-SYN-ESS-SEC-840,FND-SYN-ESS-SEC-840,ESS,SEC,security_event_record,revenue/uiowa_rfq_18649_security_event_review/fixtures/synthetic_events.json#ESS-MON-001,2026-09-15T13:00:08Z,2026-09-15,Synthetic event ESS-MON-001: The event is explicitly recorded as a monitoring-only signal rather than a security review.,One event from a fictional review packet; no group-wide control effectiveness or compliance conclusion.,DIRECT,CURRENT,SINGLE,NO_CORROBORATION,SUPPORTING,MODERATE,,,,,Corroborate with another source before generalizing beyond this event.,security_event_review,ESS-MON-001,true,2a74bee7d51c064ddaf51e10db3b62986133576c25321ca23705ff045e5d590e,"{""native_id"":""ESS-MON-001"",""native_record"":{""action"":{""completed_at"":null,""description"":""Performance investigation routed to service operations"",""evidence_ref"":""SYNTH-OPS-101"",""status"":""operational_ticket""},""collected_at"":""2026-09-15T13:00:08Z"",""decision"":null,""escalation"":{""escalated_at"":null,""evidence_ref"":null,""required"":false,""status"":""not_required""},""event_category"":""application_latency_alert"",""event_id"":""ESS-MON-001"",""monitoring_only"":true,""notes"":""Demonstrates that general service monitoring is not automatically a security review."",""occurred_at"":""2026-09-15T13:00:00Z"",""retained_context"":{""action"":""latency_threshold_crossed"",""actor"":""service-monitor"",""correlation_id"":""corr-ess-001"",""source"":""fictional-apm"",""target"":""student-portal""},""review_owner"":null,""reviewed_at"":null,""security_relevant"":false,""selected_reason"":""general availability monitoring"",""service"":""ESS-FICTIONAL""},""source_component"":""security_event_review"",""source_sha256"":""2a74bee7d51c064ddaf51e10db3b62986133576c25321ca23705ff045e5d590e"",""synthetic"":true}"
EV-SYN-ESS-SEC-EVT-841,OBS-SYN-ESS-SEC-841,FND-SYN-ESS-SEC-841,ESS,SEC,security_event_record,revenue/uiowa_rfq_18649_security_event_review/fixtures/synthetic_events.json#ESS-SEC-003,2026-09-15T15:20:15Z,2026-09-15,"Synthetic event ESS-SEC-003: The event is recorded as security-relevant, but review owner/time/decision evidence is missing.",One event from a fictional review packet; no group-wide control effectiveness or compliance conclusion.,DIRECT,CURRENT,SINGLE,NO_CORROBORATION,NO_EVIDENCE_OBSERVED,NOT_EVIDENCED,,,,,Request the missing review/relevance evidence before drawing a security finding.,security_event_review,ESS-SEC-003,true,2a74bee7d51c064ddaf51e10db3b62986133576c25321ca23705ff045e5d590e,"{""native_id"":""ESS-SEC-003"",""native_record"":{""action"":{""completed_at"":null,""description"":null,""evidence_ref"":null,""status"":""unknown""},""collected_at"":""2026-09-15T15:20:15Z"",""decision"":null,""escalation"":{""escalated_at"":null,""evidence_ref"":null,""required"":null,""status"":""unknown""},""event_category"":""bulk_record_export"",""event_id"":""ESS-SEC-003"",""monitoring_only"":false,""notes"":""Collection exists, but the packet cannot establish that a security review occurred."",""occurred_at"":""2026-09-15T15:20:00Z"",""retained_context"":{""action"":""export_requested"",""actor"":""fictional-user-22"",""correlation_id"":""corr-ess-003"",""source"":""fictional-app-audit"",""target"":""student-record-export""},""review_owner"":null,""reviewed_at"":null,""security_relevant"":true,""selected_reason"":""fictional high-volume export rule"",""service"":""ESS-FICTIONAL""},""source_component"":""security_event_review"",""source_sha256"":""2a74bee7d51c064ddaf51e10db3b62986133576c25321ca23705ff045e5d590e"",""synthetic"":true}"
