provenance,lane,path,status,shape,label_offset,reason
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/README.md,DISCLOSED,DOCUMENTATION,380,documentation explains the kit; it presents no records
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/acceptance_map.json,DISCLOSED,CONFIGURATION,2955,reads as schema/vocabulary/weights rather than records; a fiction label is not expected here
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/output/ACCEPTANCE_INDEX.md,DISCLOSED,CONFIGURATION,320,reads as schema/vocabulary/weights rather than records; a fiction label is not expected here
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/output/acceptance_index.csv,DISCLOSED,RECORDS,265,carries 0 record identifier(s) and 18 populated row(s) with assessment vocabulary; disclosure at byte 265
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/output/acceptance_index.json,DISCLOSED,CONFIGURATION,279,reads as schema/vocabulary/weights rather than records; a fiction label is not expected here
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/output/needs_engagement_evidence.csv,DISCLOSED,RECORDS,265,carries 0 record identifier(s) and 7 populated row(s) with assessment vocabulary; disclosure at byte 265
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/output/sample_packet/MANIFEST.json,DISCLOSED,CONFIGURATION,279,reads as schema/vocabulary/weights rather than records; a fiction label is not expected here
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/output/sample_packet/uiowa_rfq_18649_intake_rehearsal__README.md,DISCLOSED,RECORDS,92,carries 4 record identifier(s) and 0 populated row(s) with assessment vocabulary; disclosure at byte 92
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/output/sample_packet/uiowa_rfq_18649_intake_rehearsal__artifacts__REHEARSAL_REPORT.md,DISCLOSED,RECORDS,57,carries 60 record identifier(s) and 0 populated row(s) with assessment vocabulary; disclosure at byte 57
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/output/sample_packet/uiowa_rfq_18649_intake_rehearsal__artifacts__RUN_DIGEST.json,DISCLOSED,OTHER,19,neither record-shaped nor obviously configuration
