action_step,seat,kind,operation,item,quote,cash_delta
0,0,trade,BUY_PRODUCT,WHEAT,26,-26.0
0,1,trade,BUY_PRODUCT,WHEAT,26,-26.0
0,0,trade,BUY_PRODUCT,WHEAT,27,-27.0
0,1,trade,BUY_PRODUCT,WHEAT,27,-27.0
0,0,trade,BUY_PRODUCT,WHEAT,27,-27.0
0,1,trade,BUY_PRODUCT,WHEAT,27,-27.0
0,0,trade,BUY_PRODUCT,WHEAT,28,-28.0
0,1,trade,BUY_PRODUCT,WHEAT,28,-28.0
0,0,trade,BUY_PRODUCT,WHEAT,28,-28.0
0,1,trade,BUY_PRODUCT,WHEAT,28,-28.0
0,0,trade,BUY_PRODUCT,WHEAT,28,-28.0
0,1,trade,BUY_PRODUCT,WHEAT,28,-28.0
0,0,trade,BUY_PRODUCT,WHEAT,29,-29.0
0,1,trade,BUY_PRODUCT,WHEAT,29,-29.0
0,0,trade,BUY_PRODUCT,WHEAT,29,-29.0
0,1,trade,BUY_PRODUCT,WHEAT,29,-29.0
0,0,trade,BUY_PRODUCT,WHEAT,29,-29.0
0,1,trade,BUY_PRODUCT,WHEAT,29,-29.0
0,0,trade,BUY_PRODUCT,WHEAT,29,-29.0
0,1,trade,BUY_PRODUCT,WHEAT,29,-29.0
0,0,trade,BUY_PRODUCT,WHEAT,30,-30.0
0,1,trade,BUY_PRODUCT,WHEAT,30,-30.0
0,0,trade,BUY_PRODUCT,WHEAT,30,-30.0
0,1,trade,BUY_PRODUCT,WHEAT,30,-30.0
0,0,trade,BUY_PRODUCT,WHEAT,30,-30.0
0,1,trade,BUY_PRODUCT,WHEAT,30,-30.0
0,0,trade,BUY_PRODUCT,WHEAT,30,-30.0
0,1,trade,BUY_PRODUCT,WHEAT,30,-30.0
0,0,trade,BUY_PRODUCT,WHEAT,30,-30.0
0,1,trade,BUY_PRODUCT,WHEAT,30,-30.0
0,0,trade,BUY_PRODUCT,WHEAT,31,-31.0
0,1,trade,BUY_PRODUCT,WHEAT,31,-31.0
0,0,trade,BUY_PRODUCT,WHEAT,31,-31.0
0,1,trade,BUY_PRODUCT,WHEAT,31,-31.0
0,0,trade,BUY_PRODUCT,WHEAT,31,-31.0
0,1,trade,BUY_PRODUCT,WHEAT,31,-31.0
0,0,trade,BUY_PRODUCT,WHEAT,31,-31.0
0,1,trade,BUY_PRODUCT,WHEAT,31,-31.0
0,0,trade,BUY_PRODUCT,WHEAT,31,-31.0
0,1,trade,BUY_PRODUCT,WHEAT,31,-31.0
0,0,trade,BUY_PRODUCT,WHEAT,31,-31.0
0,1,trade,BUY_PRODUCT,WHEAT,31,-31.0
0,0,trade,BUY_PRODUCT,WHEAT,32,-32.0
0,1,trade,BUY_PRODUCT,WHEAT,32,-32.0
0,0,trade,BUY_PRODUCT,WHEAT,32,-32.0
0,1,trade,BUY_PRODUCT,WHEAT,32,-32.0
0,0,trade,BUY_PRODUCT,WHEAT,32,-32.0
0,1,trade,BUY_PRODUCT,WHEAT,32,-32.0
0,0,trade,BUY_PRODUCT,WHEAT,32,-32.0
0,1,trade,BUY_PRODUCT,WHEAT,32,-32.0
0,0,trade,BUY_PRODUCT,WHEAT,32,-32.0
0,1,trade,BUY_PRODUCT,WHEAT,32,-32.0
0,0,trade,BUY_PRODUCT,WHEAT,32,-32.0
0,1,trade,BUY_PRODUCT,WHEAT,32,-32.0
