# PROVENANCE: SYNTHETIC. FICTION. Built only to exercise the deck-agreement engine against the example report. Not a University of Iowa readout and not a real assessment result.
slide_id,section,track,minutes,title,claim_index,claim_type,cites,cited_kind,measure,deck_value,report_value,unit,agreement,appendix_support,evidence
S-01,purpose,core,3,Why we are in this room,,,,,,,,,NO-CLAIMS,,
S-02,evidence,core,4,What this rests on,0,evidence,EV-004,evidence,,,,,LINK-ONLY,S-A1,
S-02,evidence,core,4,What this rests on,1,evidence,EV-007,evidence,,,,,LINK-ONLY,S-A1,
S-03,strengths,core,6,What is already working,0,strength,F-001,finding,changes_with_recorded_test_result,12,12,of 12 sampled changes,MATCH,S-A6,EV-001;EV-002
S-04,priority_findings,core,10,The two gaps worth your time,0,gap,F-002,finding,single_approval_rate_pct,58,58,percent,MATCH,S-A2;S-A3;S-A7,EV-003;EV-004
S-04,priority_findings,core,10,The two gaps worth your time,1,gap,F-003,finding,backup_completion_rate_pct,99,99,percent,MATCH,S-A2;S-A3;S-A7,EV-005
S-04,priority_findings,core,10,The two gaps worth your time,2,gap,F-003,finding,demonstrated_recovery_time_hours,UNKNOWN,UNKNOWN,hours,UNKNOWN-IN-REPORT,S-A2;S-A3;S-A7,EV-005
S-04,priority_findings,core,10,The two gaps worth your time,3,gap,F-004,finding,services_without_recorded_alert_owner,2,2,of 9 services,MATCH,S-A2;S-A3;S-A7,EV-006
S-05,roadmap,core,8,"Sequence, not a transformation",0,phase,R-001,recommendation,,0-90,0-90,,MATCH,S-A4,
S-05,roadmap,core,8,"Sequence, not a transformation",1,phase,R-003,recommendation,,0-90,0-90,,MATCH,S-A4,
S-05,roadmap,core,8,"Sequence, not a transformation",2,phase,R-002,recommendation,,90-180,90-180,,MATCH,S-A4,
S-05,roadmap,core,8,"Sequence, not a transformation",3,phase,R-004,recommendation,,180+,180+,,MATCH,S-A4,
S-06,resources,core,6,"What it costs, and what we cannot cost yet",0,resource,RES-001,resource,one_time_effort,80,80,staff-hours,MATCH,S-A5,
S-06,resources,core,6,"What it costs, and what we cannot cost yet",1,resource,RES-001,resource,recurring_effort,4,4,staff-hours per month,MATCH,S-A5,
S-06,resources,core,6,"What it costs, and what we cannot cost yet",2,resource,RES-003,resource,one_time_effort,16,16,staff-hours,MATCH,S-A5,
S-06,resources,core,6,"What it costs, and what we cannot cost yet",3,resource,RES-002,resource,one_time_effort,UNKNOWN,UNKNOWN,staff-hours,UNKNOWN-IN-REPORT,S-A5,
S-07,decisions,core,8,What we need from you today,0,decision,D-001,decision,,,,,LINK-ONLY,,
S-07,decisions,core,8,What we need from you today,1,decision,D-002,decision,,,,,LINK-ONLY,,
S-07,decisions,core,8,What we need from you today,2,decision,D-003,decision,,,,,LINK-ONLY,,
S-A1,appendix,appendix,0,Appendix - evidence register,0,evidence,EV-004,evidence,,,,,LINK-ONLY,,
S-A1,appendix,appendix,0,Appendix - evidence register,1,evidence,EV-007,evidence,,,,,LINK-ONLY,,
S-A2,appendix,appendix,0,Appendix - IAM approval sampling detail,0,gap,F-002,finding,deployments_with_single_approval,7,7,of 12 sampled deployments,MATCH,,EV-003;EV-004
S-A2,appendix,appendix,0,Appendix - IAM approval sampling detail,1,gap,F-002,finding,single_approval_rate_pct,58,58,percent,MATCH,,EV-003;EV-004
S-A3,appendix,appendix,0,Appendix - RIS backup versus restoration,0,gap,F-003,finding,backup_completion_rate_pct,99,99,percent,MATCH,,EV-005
S-A3,appendix,appendix,0,Appendix - RIS backup versus restoration,1,gap,F-003,finding,demonstrated_recovery_time_hours,UNKNOWN,UNKNOWN,hours,UNKNOWN-IN-REPORT,,EV-005
S-A4,appendix,appendix,0,Appendix - phase dependencies,0,phase,R-004,recommendation,,180+,180+,,MATCH,,
S-A4,appendix,appendix,0,Appendix - phase dependencies,1,phase,R-001,recommendation,,0-90,0-90,,MATCH,,
S-A5,appendix,appendix,0,Appendix - resource assumptions and open inputs,0,resource,RES-001,resource,one_time_effort,80,80,staff-hours,MATCH,,
S-A5,appendix,appendix,0,Appendix - resource assumptions and open inputs,1,resource,RES-002,resource,recurring_effort,UNKNOWN,UNKNOWN,staff-hours per month,UNKNOWN-IN-REPORT,,
S-A5,appendix,appendix,0,Appendix - resource assumptions and open inputs,2,resource,RES-003,resource,one_time_effort,16,16,staff-hours,MATCH,,
S-A6,appendix,appendix,0,Appendix - ESS change sampling detail,0,strength,F-001,finding,changes_with_recorded_test_result,12,12,of 12 sampled changes,MATCH,,EV-001;EV-002
S-A7,appendix,appendix,0,Appendix - ESS alert routing coverage,0,gap,F-004,finding,services_without_recorded_alert_owner,2,2,of 9 services,MATCH,,EV-006
