entry_id,proposed_evidence_id,group,group_as_given,area,function,function_as_given,quarantined,task,declared_status,classification,demoted,frequency,user_roles,user_count,inputs,outputs,integrations,integrations_state,benefits_with_example,benefits_unsupported,known_limitations,evidence_refs,captured_at,respondent_role,classification_reasons
AIU-SYN-001,EV-SYN-ESS-AI-INV-001,ESS,ESS,AI,development,development,False,In-editor code completion and short refactor suggestions while writing service code,ACTIVE,ACTIVE_USE,False,DAILY,application developer,9,the open source file; the surrounding repository context,suggested code accepted into a branch before review,the team's IDE; the existing pull-request review flow,REPORTED,1,0,suggestions are wrong often enough that review was never relaxed; not used on the payment-adjacent module by team decision,synthetic://uiowa-rfq18649/AIU-SYN-001/pr-1184,2026-09-17,development team lead,
AIU-SYN-002,EV-SYN-ESS-AI-INV-002,ESS,ESS,AI,testing,testing,False,Generating first-draft unit test scaffolds for legacy modules that have none,ACTIVE,INFORMAL_EXPERIMENT,True,AD_HOC,application developer,3,the legacy module source,a draft test file that a developer then rewrites,the team's IDE,REPORTED,1,0,generated assertions are frequently trivial and get deleted,synthetic://uiowa-rfq18649/AIU-SYN-002/branch-legacy-tests,2026-09-17,development team lead,"frequency is AD_HOC, not a recurring cadence; recorded as an informal experiment rather than active use"
AIU-SYN-003,EV-SYN-ESS-AI-INV-003,ESS,ESS,AI,documentation,documentation,False,Writing release notes from commit history,ACTIVE,UNSUPPORTED_CLAIM,True,MONTHLY,application developer,UNKNOWN,commit messages,,,UNKNOWN,0,1,,,2026-09-17,development team lead,"use asserted (ACTIVE) with no evidence locator, no benefit example and no named output"
AIU-SYN-004,EV-SYN-RIS-AI-INV-004,RIS,RIS,AI,analysis,analysis,False,Summarising free-text responses from an internal service survey,INFORMAL,INFORMAL_EXPERIMENT,False,WEEKLY,research support analyst,2,exported survey free-text column,a themes memo circulated inside the team,,NONE_REPORTED,1,0,summaries flatten disagreement; the team re-reads outliers by hand,synthetic://uiowa-rfq18649/AIU-SYN-004/themes-memo-2026-08,2026-09-18,research support supervisor,
AIU-SYN-005,EV-SYN-RIS-AI-INV-005,RIS,RIS,AI,support,support,False,Proposed first-line triage of service-desk tickets,PLANNED,PLANNED_USE,False,NOT_YET,service desk analyst,6,incoming ticket text,,,NONE_REPORTED,0,0,no decision yet on how a misrouted ticket would be caught,,2026-09-18,service desk manager,
AIU-SYN-006,EV-SYN-RIS-AI-INV-006,RIS,RIS,AI,development,development,False,Script generation for one-off data extracts,PLANNED,PLANNED_USE,False,AD_HOC,research support analyst,2,a description of the extract needed,a Python script used for the August extract,,UNKNOWN,1,0,,synthetic://uiowa-rfq18649/AIU-SYN-006/extract-2026-08,2026-09-18,research support supervisor,declared PLANNED but the record carries a concrete example; both readings preserved for a human to reconcile; benefits reported as observed for a use declared not-yet-started; these are projections until the use is running
AIU-SYN-007,EV-SYN-IAM-AI-INV-007,IAM,IAM,AI,support,support,False,Drafting replies to routine access-request tickets for an analyst to edit and send,ACTIVE,ACTIVE_USE,False,DAILY,identity services analyst,4,the ticket text; the standard response templates,a draft reply placed in the ticket for human edit,the ticketing system,REPORTED,1,0,drafts are never sent unedited; not used for anything involving an exception to policy,synthetic://uiowa-rfq18649/AIU-SYN-007/ticket-sample-week-36,2026-09-18,identity services manager,
AIU-SYN-008,EV-SYN-IAM-AI-INV-008,IAM,IAM,AI,analysis,analysis,False,Grouping quarterly access-review exceptions so a human reviews them in batches,ACTIVE,INFORMAL_EXPERIMENT,True,MONTHLY,identity services analyst,2,the exported access-review exception list,a grouped worksheet used in the Q2 review,,NONE_REPORTED,1,0,the grouping is re-checked by hand before any access is changed,synthetic://uiowa-rfq18649/AIU-SYN-008/q2-review-worksheet,2026-09-18,identity services manager,explicitly not integrated into a workflow; recorded as an informal experiment rather than active use
AIU-SYN-009,EV-SYN-IAM-AI-INV-009,IAM,IAM,AI,documentation,documentation,False,Something involving drafting procedure text; the respondent was not sure who does it,UNKNOWN,UNKNOWN,False,UNKNOWN,,UNKNOWN,,,,UNKNOWN,0,0,,,2026-09-18,identity services manager,declared_status was not captured; cannot separate active from planned use
AIU-SYN-010,EV-SYN-ESS-AI-INV-010,ESS,ESS,AI,analysis,analysis,False,Reading long vendor release notes and pulling out changes that affect the team,INFORMAL,INFORMAL_EXPERIMENT,False,UNKNOWN,application developer,UNKNOWN,vendor release note PDFs,a short note pasted into the team channel,,UNKNOWN,0,1,nobody checks whether anything was missed,synthetic://uiowa-rfq18649/AIU-SYN-010/channel-note-2026-09,2026-09-17,development team lead,
