evidence_id,observation_id,finding_id,group,area,source_type,source_ref,captured_at,represented_period,claim,scope_limit,directness,recency,representativeness,corroboration,evidence_state,confidence,conflict_group,universe_definition,enumerator_authority,completeness_basis,follow_up
EV-SYN-ESS-SD-CFG-001,OBS-SYN-ESS-SD-001,FND-SYN-ESS-SD-001,ESS,SD,configuration_export,synthetic-ess-repo-A-branch-rule.json,2026-09-08T13:10:00Z,2026-09-08,Repository A requires a successful build-and-test status check and one approving review before merge,One ESS repository only,DIRECT,CURRENT,SINGLE,INDEPENDENT,SUPPORTING,MODERATE,,,,,Sample additional ESS repositories before any group-wide statement
EV-SYN-ESS-SD-PR-002,OBS-SYN-ESS-SD-002,FND-SYN-ESS-SD-001,ESS,SD,change_records,synthetic-ess-pr-sample-2026Q3.csv,2026-09-08T13:40:00Z,2026-07-01/2026-09-05,All 22 sampled merges to repositories A and B carry a passing check and an approving reviewer,"Sampled merges, not the full merge population",DIRECT,CURRENT,SAMPLED,INDEPENDENT,SUPPORTING,MODERATE,,,,,Obtain the merge population size to state sampling coverage
EV-SYN-ESS-SD-INT-003,OBS-SYN-ESS-SD-003,FND-SYN-ESS-SD-001,ESS,SD,interview,synthetic-interview-ess-02,2026-09-04T15:00:00Z,2026-09-04,Participant states review before merge is required across ESS,"One participant; participant perspective, not group-wide practice",INDIRECT,CURRENT,SINGLE,SAME_SYSTEM,SUPPORTING,LOW,,,,,Corroborate with an authoritative repository inventory
EV-SYN-ESS-SEC-CFG-004,OBS-SYN-ESS-SEC-001,FND-SYN-ESS-SEC-001,ESS,SEC,configuration_export,synthetic-ess-pipeline-def.yaml,2026-09-08T14:05:00Z,2026-09-08,A dependency-scanning stage is defined in the sampled pipeline,Establishes that the stage runs; establishes nothing about how findings are handled,DIRECT,CURRENT,SINGLE,NO_CORROBORATION,SUPPORTING,LOW,,,,,Request scanner output with disposition for a six-month window
EV-SYN-ESS-DEP-CHG-005,OBS-SYN-ESS-DEP-001,FND-SYN-ESS-DEP-001,ESS,DEP,change_records,synthetic-ess-deploy-log-2026-08.csv,2026-09-09T10:00:00Z,2026-08-01/2026-08-31,"All 9 production deployments in the window carry a change reference, an approver and a rollback note","One month, one application; the window contains no emergency change",DIRECT,CURRENT,POPULATION_BOUNDED,SAME_SYSTEM,SUPPORTING,MODERATE,,,,,Extend across a window containing an emergency change
EV-SYN-ESS-AI-INT-006,OBS-SYN-ESS-AI-001,FND-SYN-ESS-AI-001,ESS,AI,interview,synthetic-interview-ess-05,2026-09-05T11:00:00Z,2026-09-05,Two participants describe informal individual use of assisted coding tools,Participant perspective; no usage record or guidance document reviewed,INDIRECT,CURRENT,SINGLE,NO_CORROBORATION,SUPPORTING,LOW,,,,,Ask whether written guidance on reviewing generated code exists and who owns it
EV-SYN-RIS-SD-CHG-007,OBS-SYN-RIS-SD-001,FND-SYN-RIS-SD-001,RIS,SD,change_records,synthetic-ris-change-RQ-118,2026-09-10T09:30:00Z,2026-08-19/2026-08-27,"Change RQ-118 records intake, build and deployment; the review sign-off timestamp follows the deployment timestamp",A single change; establishes this change's sequence only,DIRECT,CURRENT,SINGLE,NO_CORROBORATION,SUPPORTING,MODERATE,,,,,Trace five further RIS changes including one urgent change
EV-SYN-RIS-SD-DOC-008,OBS-SYN-RIS-SD-002,FND-SYN-RIS-SD-001,RIS,SD,procedure,synthetic-ris-release-procedure-v2.md,2026-09-10T09:45:00Z,2025-11-01,The documented procedure places review sign-off before deployment,Documented intent; does not establish what the team does,INDIRECT,AGING,UNKNOWN,CONTRADICTED,CONFLICTING,LOW,,,,,Confirm whether the observed sequence is an exception or the norm
EV-SYN-RIS-SEC-POL-009,OBS-SYN-RIS-SEC-001,FND-SYN-RIS-SEC-001,RIS,SEC,policy,synthetic-research-systems-standard-v1.pdf,2026-09-11T14:20:00Z,2025-03-01,The published standard requires an annual privileged-access review,Policy intent; implementation not demonstrated,INDIRECT,STALE,POPULATION_UNKNOWN,NO_CORROBORATION,SUPPORTING,LOW,,,,,Obtain a completed review record or name the system of record
EV-SYN-RIS-SEC-INV-010,OBS-SYN-RIS-SEC-002,FND-SYN-RIS-SEC-001,RIS,SEC,limited_search,synthetic-ris-document-share-search,2026-09-11T15:00:00Z,2026-09-11,A search of the supplied document share returned no completed privileged-access review for any RIS system,Bounded to the material supplied. Absence here is not evidence the review did not occur elsewhere.,NEAR_DIRECT,CURRENT,POPULATION_UNKNOWN,NO_CORROBORATION,NO_EVIDENCE_OBSERVED,NOT_EVIDENCED,,,,,Ask which system of record holds completed reviews
EV-SYN-RIS-DEP-CHG-011,OBS-SYN-RIS-DEP-001,FND-SYN-RIS-DEP-001,RIS,DEP,change_records,synthetic-ris-maintenance-2026Q3.csv,2026-09-11T16:10:00Z,2026-07-01/2026-09-10,Three maintenance events were announced in advance and each closed with a completion note,Three events for one service,DIRECT,CURRENT,POPULATION_BOUNDED,SAME_SYSTEM,SUPPORTING,MODERATE,,,,,Confirm the practice holds during the grant-deadline period
EV-SYN-IAM-SD-CFG-012,OBS-SYN-IAM-SD-001,FND-SYN-IAM-SD-001,IAM,SD,configuration_export,synthetic-iam-connector-repo-rules.json,2026-09-12T10:00:00Z,2026-09-12,The connector repository records an approving review on every merge in the quarter,One repository; console-side configuration changes are outside version control,DIRECT,CURRENT,POPULATION_BOUNDED,NO_CORROBORATION,SUPPORTING,MODERATE,,,,,Ask how direct console configuration changes are reviewed
EV-SYN-IAM-SEC-INV-013,OBS-SYN-IAM-SEC-001,FND-SYN-IAM-SEC-001,IAM,SEC,inventory_query,synthetic-iam-privileged-account-query,2026-09-12T11:30:00Z,2026-09-12,All 14 accounts returned by the privileged-account query have a second factor enrolled,Complete for the queried universe at capture time; the query definition is recorded,DIRECT,CURRENT,POPULATION_BOUNDED,INDEPENDENT,SUPPORTING,HIGH,,All accounts holding the platform administrator role at 2026-09-12T11:30Z,Identity platform administrative API,Single authoritative query; row count returned matches the platform console count,Re-run at engagement close to confirm the population is unchanged
EV-SYN-IAM-SEC-CFG-014,OBS-SYN-IAM-SEC-002,FND-SYN-IAM-SEC-001,IAM,SEC,configuration_export,synthetic-iam-policy-export.json,2026-09-12T11:45:00Z,2026-09-12,The platform policy requires a second factor for the administrator role,Configuration state at capture time,DIRECT,CURRENT,POPULATION_BOUNDED,INDEPENDENT,SUPPORTING,HIGH,,,,,None outstanding for this narrow claim
EV-SYN-IAM-DEP-INT-015,OBS-SYN-IAM-DEP-001,FND-SYN-IAM-DEP-001,IAM,DEP,interview,synthetic-interview-iam-03,2026-09-05T13:00:00Z,2026-09-05,Participant states every production identity change gets a change record,Participant perspective,INDIRECT,CURRENT,SINGLE,CONTRADICTED,CONFLICTING,UNRESOLVED,CG-SYN-IAM-DEP-01,,,,Reconcile against the change export before reporting either way
