# ARTIFACT CONFORMANCE EVIDENCE ONLY. The workshare this index refers to is PROPOSED / NOT ACCEPTED. Nothing here represents that the University of Iowa accepted any conclusion, that a subcontract was executed, or that any payment occurred. Supporting fixtures are synthetic and are not University findings.
criterion_id,section,status,status_basis,checks_run,text
AC-5.1.1,5.1,DEMONSTRABLE,"2 passed, 0 failed, 0 unavailable",2,the scope matrix explicitly covers all three identified system groups and all four technical dimensions
AC-5.1.2,5.1,DEMONSTRABLE,"1 passed, 0 failed, 0 unavailable",1,requested source classes are mapped to assessment cells rather than collected without purpose
AC-5.1.3,5.1,NOT_DEMONSTRATED,"0 passed, 2 failed, 0 unavailable",2,"the source-register schema can identify source, custodian/owner, evidence reference, authorization/provenance, observation/currentness, and content digest"
AC-5.1.4,5.1,DEMONSTRABLE,"2 passed, 0 failed, 0 unavailable",2,"missing or unavailable evidence is represented as a gap/HOLD dependency, not a fabricated observation"
AC-5.1.5,5.1,PARTIAL,"1 passed, 1 failed, 0 unavailable",2,known prime-owned and buyer/University-owned dependencies are separately identified.
AC-5.2.1,5.2,DEMONSTRABLE,"1 passed, 0 failed, 0 unavailable",1,every populated technical conclusion can be traced to one or more source IDs in the delivered evidence register
AC-5.2.2,5.2,DEMONSTRABLE,"2 passed, 0 failed, 0 unavailable",2,"the report covers the full 12-cell assessment frame, using explicit HOLD states for unsupported cells rather than implied completion"
AC-5.2.3,5.2,DEMONSTRABLE,"3 passed, 0 failed, 0 unavailable",3,"missing, stale, conflicting, or untrusted evidence is visibly bounded and cannot silently promote a cell to a supported state"
AC-5.2.4,5.2,DEMONSTRABLE,"1 passed, 0 failed, 0 unavailable",1,"source-universe/currentness checks and deterministic recompilation checks complete for the delivered draft generation, or the package explicitly reports the exact blocker preventing a current trusted result"
AC-5.2.5,5.2,DEMONSTRABLE,"2 passed, 0 failed, 0 unavailable",2,"draft findings and roadmap inputs remain within the technical workshare and do not claim bidder submission, contract, legal/compliance certification, award, final University-facing recommendation authority, or authority to recommend/endorse a specific commercial product or vendor"
AC-5.2.6,5.2,NEEDS_ENGAGEMENT_EVIDENCE,no artifact in this repository can demonstrate this criterion,0,"prime review comments received during the agreed review window are either incorporated when they correct TJLabs artifact nonconformance, or recorded as a bounded decision/open item when they require prime judgment, new evidence, or scope change."
AC-5.3.1,5.3,PARTIAL,"1 passed, 1 failed, 0 unavailable",2,"the delivered evidence register, technical matrix, findings/roadmap inputs, limitations, change log, and reproducibility/currentness material identify one coherent final generation"
AC-5.3.2,5.3,DEMONSTRABLE,"1 passed, 0 failed, 0 unavailable",1,every supported technical conclusion remains traceable to the delivered evidence universe
AC-5.3.3,5.3,DEMONSTRABLE,"2 passed, 0 failed, 0 unavailable",2,unresolved missing/stale/conflicting/untrusted evidence remains explicit rather than being rewritten as verified evidence
AC-5.3.4,5.3,NEEDS_ENGAGEMENT_EVIDENCE,no artifact in this repository can demonstrate this criterion,0,corrections for genuine TJLabs artifact nonconformance identified during acceptance review have been applied or a specific unresolved blocker has been documented
AC-5.3.5,5.3,DEMONSTRABLE,"2 passed, 0 failed, 0 unavailable",2,"the final package contains no unsupported representation that the University accepted a conclusion, that Clark's Consulting has executed a subcontract, or that payment/revenue occurred"
AC-5.3.6,5.3,PARTIAL,"1 passed, 0 failed, 0 unavailable; part of this criterion still needs engagement evidence",1,"the prime can independently identify what is complete, what remains held, what changed from draft, and which decisions remain prime-owned."
