panel,seed,opponent,seat,own_cash,rival_cash,trace_sha256
dev_sell,9850001,arlene,0,75111,74738,4eb501b5ff6b37465b6bcde9bd561303ebdca8cc30066937a77c0b074cb3ede2
dev_sell,9850001,arlene,1,75512,74337,efefe0291e75fb0367569f84f5a2ebcc1f1022cb0fa543b1742fcd50953c4a10
dev_sell,9850001,apex,0,69273,71055,d71458ba2a2714b7f35c9d6178e317e4d405d97a78e53043d4bb1a1beb3150a3
dev_sell,9850001,apex,1,63061,52828,e3c5d4d59e053e3ea668420ddfafe7fb25f75bc1fcd3d7b249e49823852a61f4
dev_sell,9850019,arlene,0,116638,116057,445758a4aef8611bb4f939953450979009396e6da8e656de4cc1779ab1654bea
dev_sell,9850019,arlene,1,116638,116057,92c375998e671d52b27b07978784b58e324c1f6cb203d11576a14c4f388717cc
dev_sell,9850019,apex,0,106381,104588,6012b0d67e0f1a2547c64566c3897a79e40115901b64f0ad7ae515feb6f8c39a
dev_sell,9850019,apex,1,106381,104588,3ce7ff6d694363b7f7182aa45fd45b39d3ad347bc3f8f33604757c8687441895
dev_sell,9850037,arlene,0,60805,60741,1e998228fe3595c73695bcb61139d010c776ee47b7da22398ddc9da121ee2e42
dev_sell,9850037,arlene,1,60805,60741,e3e97fdcdd543511aec21b53d59097b55a867cf42c6429880050105e3da4fd86
dev_sell,9850037,apex,0,61229,51908,634f85124281edfe4d011fa41facfabc23177931177395cb2a81c9ce7a32cb17
dev_sell,9850037,apex,1,61229,51908,d6f742e1f24fa2ebcddcd501ac4689b3be19fd727ee97600000355d96c8d1b4f
dev_sell,9850001,frozen,0,74534,74935,eeca201361cb1eca4c0c764fbcd819ab377ab7b579988bbf3bfcc8aaa37c99e4
dev_sell,9850001,frozen,1,74935,74534,eeca201361cb1eca4c0c764fbcd819ab377ab7b579988bbf3bfcc8aaa37c99e4
dev_sell,9850019,frozen,0,116776,116776,2ed73536961a261d2fb7a789cf5349ab12ded225a695f348f477592d39169740
dev_sell,9850019,frozen,1,116776,116776,2ed73536961a261d2fb7a789cf5349ab12ded225a695f348f477592d39169740
dev_sell,9850037,frozen,0,61094,61094,2aa3427b1dd409e440ea7c512e67434e03783d6a7de645e7fe0223b5a5e0dea5
dev_sell,9850037,frozen,1,61094,61094,2aa3427b1dd409e440ea7c512e67434e03783d6a7de645e7fe0223b5a5e0dea5
dev_seed,9850001,arlene,0,75451,74738,7f06f302f1757ecb3d05b4a39afcb92daab664a7cb5fe8fc5ee5f21f2099eac4
dev_seed,9850001,arlene,1,75752,74337,68e17fc1ba8aa9434f558d5c126b09080c8b26d16f09652bb575aa26c1729016
dev_seed,9850001,apex,0,69613,71055,0b8e8442a8305c90d20f20534bd59a92fd923f538632bf978c5d88b186432e69
dev_seed,9850001,apex,1,63301,52828,46b5b1befddb8c00b29f523af768629f408befad4aeb5414e2261d4777d6f5ba
dev_seed,9850001,frozen,0,74874,74935,217b9100a0fe5a2908ee4c14030440e68d57a1ff6467fd059fb4634d210340a7
dev_seed,9850001,frozen,1,75175,74534,b93604965bb9cb8cec771f88e5025cbf8263e4dcd492578dd976d37babf4d759
dev_seed,9850019,arlene,0,116878,116057,ecec01314aee4b8c8cdfebaff16c9beb273447fab7776cff7fe2e453b1ec5366
dev_seed,9850019,arlene,1,116878,116057,01a1cededccead2147024e2f01992edd0760e33ca9765fd2ff6569ef368b9386
dev_seed,9850019,apex,0,106621,104588,1404bee39ed99ae419b48ff29871705639debba53cb89454f96ec703e1e10745
dev_seed,9850019,apex,1,106621,104588,906a1e34e4cc7ce584e8b40c21537bdf6577889ba1a2f69d818d833c2aa9176f
dev_seed,9850019,frozen,0,117016,116776,e5c12d68e5a3b5637c87ba1a50576cd0a81cd4d7f71f4e7a91c8149675a445d5
dev_seed,9850019,frozen,1,117016,116776,bd67d4d78e53146fc79864178c7640b7d3a8a0b2d18bdb13eba36f2972675079
dev_seed,9850037,arlene,0,61045,60741,4a0cd36b435bfe0b43989c97bb1256b1563b2984a50bc1c97705eff646c96329
dev_seed,9850037,arlene,1,61045,60741,504be60a618c3eea9133a031993cdbd45486816a25a9a7d37ee1df6d4da56b27
dev_seed,9850037,apex,0,61469,51908,fed6cd3445ac9ca7ea4b51ca543363676b8a8803d0ae0b66cf452bcc6362b57b
dev_seed,9850037,apex,1,61469,51908,45a68aec33b88bb546f86931fdd998e3f2d81fc09abc2eb0a9c3a0807358d0b3
dev_seed,9850037,frozen,0,61334,61094,616403d8c6873c0e314cd75217507227048b00939085f9e11bf2c58d26d8f46e
dev_seed,9850037,frozen,1,61334,61094,797fb35cf919b0c1ec46ed146e8f3abe96e2f3b3838c7c471d6982923bdfe553
