episode,winner,loser,reward_gap,winner_minus_loser_day_0_hands,winner_minus_loser_day_0_plants,winner_minus_loser_day_0_animals,winner_minus_loser_first_unlock_step
107211127,Otter Vibe,Himanshu Kumar,14690,0,1,1,-30
107213024,Otter Vibe,Terry Luo,31300,0,1,1,-30
107217016,Otter Vibe,Himanshu Kumar,11841,0,1,1,-30
107220694,Otter Vibe,SpaTaro,4370,-2,5,2,-30
107223760,Terry Luo,pensukesan,1319,0,2,0,0
107224595,Himanshu Kumar,Otter Vibe,4331,0,-1,-1,30
107237316,SpaTaro,Otter Vibe,1865,1,-3,-1,30
107244033,SpaTaro,pensukesan,6939,1,-2,0,0
107246552,Himanshu Kumar,Terry Luo,2674,0,-2,0,0
107252308,Otter Vibe,SpaTaro,2544,-1,3,1,-30
107258330,SpaTaro,Himanshu Kumar,21423,1,-6,0,0
107260189,Otter Vibe,Terry Luo,8090,0,1,1,-30
