task_id,task_name,accountable_role,policy_id,policy_title,policy_status,policy_owner_role,rmf_functions,policy_axis,evidence_axis,reading,reading_if_unblocked,open_questions,blocking_questions,evidence_ids
TSK-01,Author application code with an AI coding assistant,"Application Developer (supervised by Engineering Manager, Enterprise Applications)",POL-AI-01,Generative AI Acceptable Use Standard,active,Office of the CIO - AI Governance Lead,GOVERN,HAS_ACTIVE_POLICY,ASSERTED_ONLY,STATED_PRACTICE_UNCORROBORATED,STATED_PRACTICE_UNCORROBORATED,Q-03,,EV-004
TSK-01,Author application code with an AI coding assistant,"Application Developer (supervised by Engineering Manager, Enterprise Applications)",POL-DATA-03,Institutional Data Classification and Handling Standard,active,Institutional Data Governance Council,MAP,HAS_ACTIVE_POLICY,LOOKED_NONE_FOUND,STATED_NOT_PRACTICED,STATED_NOT_PRACTICED,Q-03,,EV-005
TSK-02,Review a change that contains AI-generated code,Change Reviewer of record,POL-AI-01,Generative AI Acceptable Use Standard,active,Office of the CIO - AI Governance Lead,GOVERN,HAS_ACTIVE_POLICY,EVIDENCED_DIRECT,ALIGNED,ALIGNED,,,EV-001
TSK-02,Review a change that contains AI-generated code,Change Reviewer of record,POL-AI-04,AI Output Review and Accountability Guideline,draft,AI Governance Working Group,MEASURE,HAS_NONBINDING_POLICY,EVIDENCED_DIRECT,PRACTICE_AHEAD_OF_POLICY,PRACTICE_AHEAD_OF_POLICY,Q-02,,EV-003
TSK-02,Review a change that contains AI-generated code,Change Reviewer of record,POL-SEC-07,Secure Development Lifecycle Standard,active,Information Security Office,MANAGE,HAS_ACTIVE_POLICY,EVIDENCED_DIRECT,ALIGNED,ALIGNED,,,EV-002
TSK-03,Triage an incoming support ticket using AI summarization,Service Desk Lead,POL-AI-01,Generative AI Acceptable Use Standard,active,Office of the CIO - AI Governance Lead,GOVERN,HAS_ACTIVE_POLICY,ASSERTED_ONLY,STATED_PRACTICE_UNCORROBORATED,STATED_PRACTICE_UNCORROBORATED,,,EV-010
TSK-03,Triage an incoming support ticket using AI summarization,Service Desk Lead,POL-AI-04,AI Output Review and Accountability Guideline,draft,AI Governance Working Group,MEASURE,HAS_NONBINDING_POLICY,NOT_GATHERED,NOT_ASSESSED,NOT_ASSESSED,Q-02,,
TSK-04,Draft user-facing documentation with an AI assistant,Documentation Owner (unit-level),POL-AI-01,Generative AI Acceptable Use Standard,active,Office of the CIO - AI Governance Lead,GOVERN,HAS_ACTIVE_POLICY,NOT_GATHERED,NOT_ASSESSED,NOT_ASSESSED,,,
TSK-04,Draft user-facing documentation with an AI assistant,Documentation Owner (unit-level),POL-AI-04,AI Output Review and Accountability Guideline,draft,AI Governance Working Group,MEASURE,HAS_NONBINDING_POLICY,NOT_GATHERED,NOT_ASSESSED,NOT_ASSESSED,Q-02,,
TSK-05,Assemble a data extract used as AI prompt or retrieval context,Data Steward (unit-level),POL-DATA-03,Institutional Data Classification and Handling Standard,active,Institutional Data Governance Council,MAP,HAS_ACTIVE_POLICY,EVIDENCED_INDIRECT,BLOCKED_ON_CLARIFICATION,ALIGNED_INDIRECT,Q-01,Q-01,EV-011
TSK-06,Evaluate and onboard a new AI vendor tool,Procurement Liaison with Information Security review,POL-AI-02,AI Tool Procurement and Vendor Review Procedure,active,Procurement Services with Information Security Office,GOVERN;MANAGE,HAS_ACTIVE_POLICY,EVIDENCED_DIRECT,ALIGNED,ALIGNED,Q-04,,EV-008
TSK-07,Approve a release containing AI-assisted changes,Release Approver of record,POL-SEC-07,Secure Development Lifecycle Standard,active,Information Security Office,MANAGE,HAS_ACTIVE_POLICY,NOT_GATHERED,NOT_ASSESSED,NOT_ASSESSED,,,EV-012
TSK-08,Handle AI prompt and response logs that may contain institutional data,System Owner,POL-DATA-03,Institutional Data Classification and Handling Standard,active,Institutional Data Governance Council,MAP,HAS_ACTIVE_POLICY,LOOKED_NONE_FOUND,STATED_NOT_PRACTICED,STATED_NOT_PRACTICED,,,EV-007
TSK-08,Handle AI prompt and response logs that may contain institutional data,System Owner,POL-SEC-07,Secure Development Lifecycle Standard,active,Information Security Office,MANAGE,HAS_ACTIVE_POLICY,LOOKED_NONE_FOUND,STATED_NOT_PRACTICED,STATED_NOT_PRACTICED,Q-05,,EV-006
TSK-09,Notice and respond to a vendor model or version change,Platform Engineering (practice observed; no role is named for this task in any policy reviewed),(none),(no written policy covers this task),none,UNKNOWN,UNKNOWN,NO_POLICY,EVIDENCED_DIRECT,UNDOCUMENTED_PRACTICE,UNDOCUMENTED_PRACTICE,,,EV-009
