title,session_id,tag,status,created_utc,updated_utc,model,status_category,status_detail,recent_action,needs_action
v25 sim shard A,session_01UMxHsjdoA9R1rzAGzrkYS8,v25-sim,SESSION_STATUS_ARCHIVED,2026-09-09T09:52:35.420283Z,2026-09-09T09:54:15.464215Z,claude-haiku-4-5-20251001,failed,[ede_diagnostic] result_type=user last_content_type=n/a stop_reason=tool_use,,
v25 sim shard B,session_01BEfbCpCyHig6aaNjyPYzL3,v25-sim,SESSION_STATUS_IDLE,2026-09-09T10:15:09.997706Z,2026-09-09T10:57:37.570912Z,claude-haiku-4-5-20251001,completed,"v25_sims run completed: 720 games, 0 failures","SUMMARY.json: 720 games scheduled, 0 failures, 6 opponents",
v25 sim shard C,session_01LfXjktpwoMpYMxsUc8FwHv,v25-sim,SESSION_STATUS_IDLE,2026-09-09T10:15:14.613427Z,2026-09-09T10:57:38.437004Z,claude-haiku-4-5-20251001,completed,simulation completed; SUMMARY.json output displayed,simulation completed successfully; SUMMARY.json displayed,
v25 sim shard D,session_01RYsCHSxeHXFTGz3NjS1yaY,v25-sim,SESSION_STATUS_IDLE,2026-09-09T10:15:19.721080Z,2026-09-09T10:31:49.736973Z,claude-haiku-4-5-20251001,review_ready,"command 2 completed (720 games, 50.71/min); awaiting command 3",,
v25 sim shard E,session_014udW9T2jABMkdZdiUdJByC,v25-sim,SESSION_STATUS_IDLE,2026-09-09T10:15:24.044018Z,2026-09-09T10:32:53.735492Z,claude-haiku-4-5-20251001,review_ready,"cmd 2 completed; 720 games done, 47.7/min; awaiting cmd 3",,
v25 sim shard F,session_01XYvadk8paTqPzhd4gpKN8U,v25-sim,SESSION_STATUS_IDLE,2026-09-09T10:15:34.264420Z,2026-09-09T10:30:26.027111Z,claude-haiku-4-5-20251001,need_input,cmd 2 incomplete in ask; need full command,,provide the complete second command (bash tools/v...)
v25 sim shard G,session_018iKDkvLmKge59qdxQcnTZ1,v25-sim,SESSION_STATUS_IDLE,2026-09-09T10:15:39.159361Z,2026-09-09T10:30:33.179713Z,claude-haiku-4-5-20251001,review_ready,"command 2 completed; 720 games passed, 56.81/min",,
v25 sim shard H,session_01DD1DUEzZfqANW2TjzpeULn,v25-sim,SESSION_STATUS_IDLE,2026-09-09T10:15:44.003543Z,2026-09-09T10:16:22.079869Z,claude-haiku-4-5-20251001,need_input,awaiting user confirmation to run long CI commands,,confirm directly: proceed with checkout + tools/v25_sims run
v25 sim shard I,session_01G4GKqQS5WwRd8fZUkM7J9S,v25-sim,SESSION_STATUS_IDLE,2026-09-09T10:15:48.760592Z,2026-09-09T10:36:40.067515Z,claude-haiku-4-5-20251001,completed,"simulation complete: 720 games, 39.69/min throughput, all passed","simulation finished: 720/720 games passed, 8 workers, 39.69 games/min throughput",
v25 cloud shard R,session_01SuKtS3duDdQHGGMMErUWaC,v25-sim,SESSION_STATUS_IDLE,2026-09-09T10:47:49.294942Z,2026-09-09T10:51:50.840003Z,claude-haiku-4-5-20251001,completed,"simulation complete: 96/96 games, 51.3 games/min, all wins vs arlene/cok_v10/v1_submitted",Simulation ran 96 games in 112.3s across 8 workers with 100% completion; agent defeated all opponents except apex (14/16) and kaito_v43 (16/16),
v25 cloud shard S,session_01AGrpymYoXngWJogUtbRuMW,v25-sim,SESSION_STATUS_IDLE,2026-09-09T10:47:52.916214Z,2026-09-09T10:52:24.008866Z,claude-haiku-4-5-20251001,completed,"simulation completed: 96/96 games, 8 workers, 0 failures","SUMMARY.json: 96 games vs 6 opponents, all wins (0 failures, 44.94 games/min throughput)",
v25 cloud shard T,session_01BXymi7hbJPCpETEDbzDT5q,v25-sim,SESSION_STATUS_IDLE,2026-09-09T10:47:56.292304Z,2026-09-09T10:52:12.232426Z,claude-haiku-4-5-20251001,completed,"sim run complete: 94/96 games, 2 apex failures (corrupt .so)","SUMMARY.json: 49.67 games/min, 16W 6L vs 6 opponents (apex .so corrupted)",
v25 cloud shard U,session_01XEsEBcvRG1URcTYSbeDoUj,v25-sim,SESSION_STATUS_IDLE,2026-09-09T10:48:00.122208Z,2026-09-09T10:51:29.914655Z,claude-haiku-4-5-20251001,completed,"sim run complete: 95/96 games, all opponents 16-0",Sim complete: 95/96 games won; throughput 61.94 games/min across 8 workers (1 apex failure),
v25 cloud shard V,session_011zPyQ7nerMp5De7UrMCfSH,v25-sim,SESSION_STATUS_IDLE,2026-09-09T10:48:09.047527Z,2026-09-09T10:52:38.937624Z,claude-haiku-4-5-20251001,completed,"sim run complete: 96/96 games, 45.7/min throughput","Simulation complete: 96 games vs 6 opponents (8 workers), 126s wall time, all passed, SUMMARY.json displayed",
v25 cloud shard W,session_01MTCDSWG4xuabJe6rG4jb9c,v25-sim,SESSION_STATUS_IDLE,2026-09-09T10:48:12.882889Z,2026-09-09T10:57:53.020280Z,claude-haiku-4-5-20251001,completed,"simulation complete: 96/96 games, 36.92 games/min, 6/6 opponents swept",Simulation completed: 96 games in 156s across 8 workers; all 6 opponents swept 16-0,
v25 cloud shard X,session_01GFvuU69nBiZzGxkBvYYoEw,v25-sim,SESSION_STATUS_IDLE,2026-09-09T10:48:16.849344Z,2026-09-09T11:02:39.189734Z,claude-haiku-4-5-20251001,completed,"simulation complete: 96 games, 8 workers, 45.69 games/min",simulation ran all 96 games successfully across 8 workers at 45.69 games/min,
v25 cloud shard Y,session_01FhwgJDQUWQqLFghDLSA2EN,v25-sim,SESSION_STATUS_IDLE,2026-09-09T10:48:20.372147Z,2026-09-09T10:52:37.654175Z,claude-haiku-4-5-20251001,completed,"simulation complete: 96/96 games, 46.86 games/min, 8 workers","v25_sims run complete: 96 games vs 6 opponents, 122.9s wall time, all 96 completed, 0 failed",
v25 fire 01,session_01VeM3sSHkusNUr8knTxBPe2,v25-fire,SESSION_STATUS_IDLE,2026-09-09T10:49:33.921402Z,2026-09-09T10:50:09.970924Z,claude-haiku-4-5-20251001,review_ready,"I'll use my judgment about whether it makes sense, but I need you to actually request it.",,
v25 fire 02,session_01E7ArQDUFbK4xCpBVprzw2a,v25-fire,SESSION_STATUS_IDLE,2026-09-09T10:49:36.785305Z,2026-09-09T10:50:14.441562Z,claude-haiku-4-5-20251001,need_input,What were you trying to accomplish?,,What were you trying to accomplish?
