receipt,seed,opponent,seat,original_status,tightened_status,original_joint_support,tightened_joint_support,original_scenarios,tightened_scenarios,interval_changes,family_changed
results/first4/history_on-9943201-cok-v10-0.json,9943201,cok-v10,0,insufficient_joint_history,insufficient_joint_history,2,2,0,0,9,false
results/first4/history_on-9943201-cok-v10-1.json,9943201,cok-v10,1,insufficient_joint_history,insufficient_joint_history,2,2,0,0,9,false
results/first4/history_on-9943201-sell-0.json,9943201,sell,0,ready,ready,4,4,1,1,2,false
results/first4/history_on-9943201-sell-1.json,9943201,sell,1,ready,ready,4,4,1,1,2,false
results/first4/history_on-9943202-cok-v10-0.json,9943202,cok-v10,0,ready,ready,5,5,1,1,8,false
results/first4/history_on-9943202-cok-v10-1.json,9943202,cok-v10,1,ready,ready,5,5,1,1,8,false
results/first4/history_on-9943202-sell-0.json,9943202,sell,0,insufficient_joint_history,insufficient_joint_history,0,0,0,0,15,false
results/first4/history_on-9943202-sell-1.json,9943202,sell,1,insufficient_joint_history,insufficient_joint_history,0,0,0,0,15,false
results/first4/history_on-9943203-cok-v10-0.json,9943203,cok-v10,0,ready,ready,5,5,1,1,12,false
results/first4/history_on-9943203-cok-v10-1.json,9943203,cok-v10,1,ready,ready,5,5,1,1,8,false
results/first4/history_on-9943203-sell-0.json,9943203,sell,0,insufficient_joint_history,insufficient_joint_history,0,0,0,0,17,false
results/first4/history_on-9943203-sell-1.json,9943203,sell,1,insufficient_joint_history,insufficient_joint_history,0,0,0,0,17,false
results/first4/history_on-9943204-cok-v10-0.json,9943204,cok-v10,0,insufficient_joint_history,insufficient_joint_history,1,1,0,0,22,false
results/first4/history_on-9943204-cok-v10-1.json,9943204,cok-v10,1,insufficient_joint_history,insufficient_joint_history,1,1,0,0,22,false
results/first4/history_on-9943204-sell-0.json,9943204,sell,0,ready,ready,5,5,1,1,3,false
results/first4/history_on-9943204-sell-1.json,9943204,sell,1,ready,ready,5,5,1,1,3,false
results/next12/history_on-9943205-cok-v10-0.json,9943205,cok-v10,0,insufficient_joint_history,insufficient_joint_history,1,1,0,0,25,false
results/next12/history_on-9943205-cok-v10-1.json,9943205,cok-v10,1,insufficient_joint_history,insufficient_joint_history,1,1,0,0,25,false
results/next12/history_on-9943205-sell-0.json,9943205,sell,0,ready,ready,5,5,1,1,7,false
results/next12/history_on-9943205-sell-1.json,9943205,sell,1,ready,ready,5,5,1,1,7,false
results/next12/history_on-9943206-cok-v10-0.json,9943206,cok-v10,0,ready,ready,4,4,1,1,9,false
results/next12/history_on-9943206-cok-v10-1.json,9943206,cok-v10,1,ready,ready,4,4,1,1,9,false
results/next12/history_on-9943206-sell-0.json,9943206,sell,0,ready,ready,5,5,3,3,2,false
results/next12/history_on-9943206-sell-1.json,9943206,sell,1,ready,ready,5,5,3,3,2,false
results/next12/history_on-9943207-cok-v10-0.json,9943207,cok-v10,0,insufficient_joint_history,insufficient_joint_history,1,1,0,0,18,false
results/next12/history_on-9943207-cok-v10-1.json,9943207,cok-v10,1,insufficient_joint_history,insufficient_joint_history,1,1,0,0,18,false
results/next12/history_on-9943207-sell-0.json,9943207,sell,0,ready,ready,5,5,1,1,3,false
results/next12/history_on-9943207-sell-1.json,9943207,sell,1,ready,ready,5,5,1,1,3,false
results/next12/history_on-9943208-cok-v10-0.json,9943208,cok-v10,0,ready,ready,5,5,1,1,3,false
results/next12/history_on-9943208-cok-v10-1.json,9943208,cok-v10,1,ready,ready,5,5,1,1,3,false
results/next12/history_on-9943208-sell-0.json,9943208,sell,0,ready,ready,4,4,3,3,3,false
results/next12/history_on-9943208-sell-1.json,9943208,sell,1,ready,ready,4,4,3,3,3,false
results/next12/history_on-9943209-cok-v10-0.json,9943209,cok-v10,0,insufficient_joint_history,insufficient_joint_history,1,1,0,0,25,false
results/next12/history_on-9943209-cok-v10-1.json,9943209,cok-v10,1,insufficient_joint_history,insufficient_joint_history,1,1,0,0,25,false
results/next12/history_on-9943209-sell-0.json,9943209,sell,0,ready,ready,4,4,3,3,3,false
results/next12/history_on-9943209-sell-1.json,9943209,sell,1,ready,ready,4,4,3,3,3,false
results/next12/history_on-9943210-cok-v10-0.json,9943210,cok-v10,0,ready,ready,4,4,1,1,3,false
results/next12/history_on-9943210-cok-v10-1.json,9943210,cok-v10,1,ready,ready,4,4,1,1,3,false
results/next12/history_on-9943210-sell-0.json,9943210,sell,0,insufficient_joint_history,insufficient_joint_history,0,0,0,0,14,false
results/next12/history_on-9943210-sell-1.json,9943210,sell,1,insufficient_joint_history,insufficient_joint_history,0,0,0,0,14,false
results/next12/history_on-9943211-cok-v10-0.json,9943211,cok-v10,0,insufficient_joint_history,insufficient_joint_history,2,2,0,0,14,false
results/next12/history_on-9943211-cok-v10-1.json,9943211,cok-v10,1,ready,ready,5,5,1,1,3,false
results/next12/history_on-9943211-sell-0.json,9943211,sell,0,insufficient_joint_history,insufficient_joint_history,0,0,0,0,14,false
results/next12/history_on-9943211-sell-1.json,9943211,sell,1,insufficient_joint_history,insufficient_joint_history,0,0,0,0,14,false
results/next12/history_on-9943212-cok-v10-0.json,9943212,cok-v10,0,insufficient_joint_history,insufficient_joint_history,1,1,0,0,24,false
results/next12/history_on-9943212-cok-v10-1.json,9943212,cok-v10,1,insufficient_joint_history,insufficient_joint_history,1,1,0,0,24,false
results/next12/history_on-9943212-sell-0.json,9943212,sell,0,insufficient_joint_history,insufficient_joint_history,0,0,0,0,14,false
results/next12/history_on-9943212-sell-1.json,9943212,sell,1,insufficient_joint_history,insufficient_joint_history,0,0,0,0,14,false
results/next12/history_on-9943213-cok-v10-0.json,9943213,cok-v10,0,ready,ready,5,5,1,1,6,false
results/next12/history_on-9943213-cok-v10-1.json,9943213,cok-v10,1,ready,ready,5,5,1,1,6,false
results/next12/history_on-9943213-sell-0.json,9943213,sell,0,ready,ready,5,5,1,1,4,false
results/next12/history_on-9943213-sell-1.json,9943213,sell,1,ready,ready,5,5,1,1,4,false
results/next12/history_on-9943214-cok-v10-0.json,9943214,cok-v10,0,ready,ready,5,5,1,1,7,false
results/next12/history_on-9943214-cok-v10-1.json,9943214,cok-v10,1,ready,ready,5,5,1,1,7,false
results/next12/history_on-9943214-sell-0.json,9943214,sell,0,ready,ready,5,5,1,1,1,false
results/next12/history_on-9943214-sell-1.json,9943214,sell,1,ready,ready,5,5,1,1,1,false
results/next12/history_on-9943215-cok-v10-0.json,9943215,cok-v10,0,ready,ready,5,5,1,1,4,false
results/next12/history_on-9943215-cok-v10-1.json,9943215,cok-v10,1,insufficient_joint_history,insufficient_joint_history,1,1,0,0,21,false
results/next12/history_on-9943215-sell-0.json,9943215,sell,0,ready,ready,5,5,1,1,3,false
results/next12/history_on-9943215-sell-1.json,9943215,sell,1,ready,ready,5,5,1,1,3,false
results/next12/history_on-9943216-cok-v10-0.json,9943216,cok-v10,0,ready,ready,4,4,1,1,4,false
results/next12/history_on-9943216-cok-v10-1.json,9943216,cok-v10,1,ready,ready,4,4,1,1,4,false
results/next12/history_on-9943216-sell-0.json,9943216,sell,0,ready,ready,5,5,1,1,3,false
