record_id,session_id,group,assessment_area,question_id,participant_id,role,status,supports_finding,basis,stated_practice,concrete_example,corroborating_artifact,artifact_locator,disputed_with,follow_up
EV-INT-2026-03-11-ESS-N1,INT-2026-03-11-ESS,ESS,deployment,Q1,P1,ESS release engineer,DISPUTED,false,contradicted by N2; this side carries artifact SRC-ESS-REL-LOG. Adjudicate against that artifact — the adapter does not decide,Standard changes take two approvals before release.,CR-411 last month went through both the peer approval and the change-manager approval.,SRC-ESS-REL-LOG,fictional-repo/ess/release/log-2026-q1.csv,N2,\N
EV-INT-2026-03-11-ESS-N10,INT-2026-03-11-ESS,ESS,deployment,Q1,P3,Change manager (shared services),CORROBORATED,true,statement plus artifact SRC-ESS-CHG-PROC resolving to fictional-repo/ess/policy/change-management.md#approvals,The written change procedure requires two approvals.,Section 4 of the procedure states it.,SRC-ESS-CHG-PROC,fictional-repo/ess/policy/change-management.md#approvals,\N,\N
EV-INT-2026-03-11-ESS-N11,INT-2026-03-11-ESS,ESS,security,Q3,P2,ESS QA analyst,ILLUSTRATED,false,"statement plus a specific example, still the participant's own account; no artifact supplied",Access changes for the release group go through a ticket.,The ticket for removing a leaver in February was REQ-7781.,\N,\N,\N,Ask for the ticket export covering the last two quarters.
EV-INT-2026-03-11-ESS-N2,INT-2026-03-11-ESS,ESS,deployment,Q1,P3,Change manager (shared services),DISPUTED,false,contradicted by N1; no artifact on this side. Both notes are retained and neither is promoted,In practice most standard changes carry one approval; the second is only for high-risk ones.,The March batch of routine schema changes each had a single approval entry.,\N,\N,N1,"Ask for the standing exception, if one is written down."
EV-INT-2026-03-11-ESS-N3,INT-2026-03-11-ESS,ESS,software,Q2,P2,ESS QA analyst,CORROBORATED,true,statement plus artifact SRC-ESS-TEST-RUN resolving to fictional-repo/ess/quality/runs-2026-03.json,A nightly suite runs against the integration environment.,The 2026-03-28 run is the most recent one we looked at together.,SRC-ESS-TEST-RUN,fictional-repo/ess/quality/runs-2026-03.json,\N,\N
EV-INT-2026-03-11-ESS-N4,INT-2026-03-11-ESS,ESS,software,Q2,P1,ESS release engineer,STATED,false,testimony only; no artifact and no specific example supplied,We also run contract tests against the student-record interface.,\N,\N,\N,\N,Ask where contract-test results are retained.
EV-INT-2026-03-11-ESS-N5,INT-2026-03-11-ESS,ESS,software,Q2,P2,ESS QA analyst,STATED,false,testimony only; no artifact and no specific example supplied,Coverage is good across the enrollment module.,We generally keep it high.,\N,\N,\N,Ask for a coverage report from after the March migration.
EV-INT-2026-03-11-ESS-N6,INT-2026-03-11-ESS,ESS,security,Q3,P3,Change manager (shared services),CORROBORATED,true,statement plus artifact SRC-IAM-REVIEW-Q4 resolving to fictional-repo/iam/reviews/2025-q4.pdf,Pipeline access is reviewed with the wider access review each quarter.,The Q4 2025 review covered the release group.,SRC-IAM-REVIEW-Q4,fictional-repo/iam/reviews/2025-q4.pdf,\N,Ask whether a Q1 2026 review has been completed.
EV-INT-2026-03-11-ESS-N7,INT-2026-03-11-ESS,ESS,security,Q3,P1,ESS release engineer,STATED,false,testimony only; no artifact and no specific example supplied,Only the release group can deploy to production.,\N,\N,\N,\N,Ask for the group membership export.
EV-INT-2026-03-11-ESS-N8,INT-2026-03-11-ESS,ESS,ai_readiness,Q4,P2,ESS QA analyst,DISPUTED,false,contradicted by N9; no artifact on this side. Both notes are retained and neither is promoted,No AI tools are used in QA work.,\N,\N,\N,N9,Ask whether individually adopted assistants are included in that answer.
EV-INT-2026-03-11-ESS-N9,INT-2026-03-11-ESS,ESS,ai_readiness,Q4,P1,ESS release engineer,DISPUTED,false,contradicted by N8; no artifact on this side. Both notes are retained and neither is promoted,An AI coding assistant is in daily use on the engineering side.,It is used for first-draft unit tests.,\N,\N,N8,Ask how it was obtained and whether a licence record exists.
