SC Labs multistate COA gate — 30 HOLD
Validation overlay only. Named-human disposition required.

SC-121 | SC-SAMPLE-121 | SC-COA-121 | RULE_VERSION_EXPIRED
SC-122 | SC-SAMPLE-122 | SC-COA-122 | RULE_VERSION_EXPIRED
SC-123 | SC-SAMPLE-123 | SC-COA-123 | RULE_VERSION_EXPIRED
SC-124 | SC-SAMPLE-124 | SC-COA-124 | RULE_VERSION_EXPIRED
SC-125 | SC-SAMPLE-125 | SC-COA-125 | RULE_VERSION_EXPIRED
SC-126 | SC-SAMPLE-126 | SC-COA-126 | PANEL_NOT_VALID_FOR_JURISDICTION
SC-127 | SC-SAMPLE-127 | SC-COA-127 | PANEL_NOT_VALID_FOR_JURISDICTION
SC-128 | SC-SAMPLE-128 | SC-COA-128 | PANEL_NOT_VALID_FOR_JURISDICTION
SC-129 | SC-SAMPLE-129 | SC-COA-129 | PANEL_NOT_VALID_FOR_JURISDICTION
SC-130 | SC-SAMPLE-130 | SC-COA-130 | PANEL_NOT_VALID_FOR_JURISDICTION
SC-131 | SC-SAMPLE-131 | SC-COA-131 | METHOD_LIMIT_MISMATCH
SC-132 | SC-SAMPLE-132 | SC-COA-132 | METHOD_LIMIT_MISMATCH
SC-133 | SC-SAMPLE-133 | SC-COA-133 | METHOD_LIMIT_MISMATCH
SC-134 | SC-SAMPLE-134 | SC-COA-134 | METHOD_LIMIT_MISMATCH
SC-135 | SC-SAMPLE-135 | SC-COA-135 | METHOD_LIMIT_MISMATCH
SC-136 | SC-SAMPLE-136 | SC-COA-136 | CUSTODY_GAP
SC-137 | SC-SAMPLE-137 | SC-COA-137 | CUSTODY_GAP
SC-138 | SC-SAMPLE-138 | SC-COA-138 | CUSTODY_GAP
SC-139 | SC-SAMPLE-139 | SC-COA-139 | CUSTODY_GAP
SC-140 | SC-SAMPLE-140 | SC-COA-140 | CUSTODY_GAP
SC-141 | SC-SAMPLE-001 | SC-COA-001 | DUPLICATE_RELEASE_ID
SC-142 | SC-SAMPLE-002 | SC-COA-002 | DUPLICATE_RELEASE_ID
SC-143 | SC-SAMPLE-003 | SC-COA-003 | DUPLICATE_RELEASE_ID
SC-144 | SC-SAMPLE-004 | SC-COA-004 | DUPLICATE_RELEASE_ID
SC-145 | SC-SAMPLE-005 | SC-COA-005 | DUPLICATE_RELEASE_ID
SC-146 | SC-SAMPLE-146 | SC-COA-146 | SCOPE_OR_SIGNER_MISMATCH
SC-147 | SC-SAMPLE-147 | SC-COA-147 | SCOPE_OR_SIGNER_MISMATCH
SC-148 | SC-SAMPLE-148 | SC-COA-148 | SCOPE_OR_SIGNER_MISMATCH
SC-149 | SC-SAMPLE-149 | SC-COA-149 | SCOPE_OR_SIGNER_MISMATCH
SC-150 | SC-SAMPLE-150 | SC-COA-150 | SCOPE_OR_SIGNER_MISMATCH
