finding_id,group,area,status,confidence,statement,scope_limit,evidence_refs,follow_up_question
FND-SYN-ESS-SD-001,ESS,SD,SUPPORTED,MODERATE,Merges to the two sampled ESS repositories require a passing build-and-test status check and at least one approving review; the configuration export and the pull-request sample agree.,Two of an unstated number of ESS repositories; repository population was never enumerated.,EV-SYN-ESS-SD-CFG-001;EV-SYN-ESS-SD-PR-002;EV-SYN-ESS-SD-INT-003,Provide an authoritative repository inventory so coverage can be stated for the group rather than for two repositories.
FND-SYN-ESS-SEC-001,ESS,SEC,PARTIAL,LOW,"A dependency-scanning step runs in the sampled pipelines, but no record was observed of how findings are triaged or closed.",Pipeline definition observed; no triage or closure records reviewed.,EV-SYN-ESS-SEC-CFG-004,"Supply six months of scanner findings with their disposition, or the queue the team works them from."
FND-SYN-ESS-DEP-001,ESS,DEP,SUPPORTED,MODERATE,"Production deployments in the sampled window were recorded with a change reference, an approver and a rollback note.",One month of deployment records for one ESS application.,EV-SYN-ESS-DEP-CHG-005,Extend the sample across a release cycle that includes an emergency change.
FND-SYN-ESS-AI-001,ESS,AI,PARTIAL,LOW,Assisted coding tools are in informal use by some ESS developers; no group-level guidance on review of generated code was observed.,"Two interview statements; no policy, inventory or usage record reviewed.",EV-SYN-ESS-AI-INT-006,"Is there written guidance on reviewing AI-generated code, and who owns it?"
FND-SYN-RIS-SD-001,RIS,SD,PARTIAL,LOW,"A documented intake-to-release path exists; the one traced change followed it, with the review stage completed after deployment rather than before.",A single traced change; the deviation may or may not be typical.,EV-SYN-RIS-SD-CHG-007;EV-SYN-RIS-SD-DOC-008,"Trace five further RIS changes, including at least one urgent change, before describing the sequence as usual practice."
FND-SYN-RIS-SEC-001,RIS,SEC,PARTIAL,LOW,A published standard requires annual privileged-access review for research systems. No completed review record was observed for any in-scope RIS system.,Policy intent only. Absence of a record in the material supplied is not evidence that the review did not happen.,EV-SYN-RIS-SEC-POL-009;EV-SYN-RIS-SEC-INV-010,"Provide the most recent completed privileged-access review for two RIS systems, or name the system of record that holds them."
FND-SYN-RIS-DEP-001,RIS,DEP,SUPPORTED,MODERATE,Scheduled maintenance for the sampled RIS service is announced in advance and tracked to a close-out note.,Three maintenance events for one service.,EV-SYN-RIS-DEP-CHG-011,"Confirm the same practice holds during the grant-deadline period, when windows are constrained."
FND-SYN-IAM-SD-001,IAM,SD,SUPPORTED,MODERATE,IAM connector changes are developed in version control with peer review recorded before release.,One connector repository over one quarter.,EV-SYN-IAM-SD-CFG-012,Does the same path apply to configuration changes made directly in the vendor console?
FND-SYN-IAM-SEC-001,IAM,SEC,SUPPORTED,HIGH,Privileged administrative access to the identity platform required a second factor for every account in the enumerated population at the time of capture.,Bounded inventory query over all 14 privileged accounts at capture time; the completeness of the query is documented.,EV-SYN-IAM-SEC-INV-013;EV-SYN-IAM-SEC-CFG-014,Re-run the enumeration at engagement close to confirm the population has not changed.
FND-SYN-IAM-DEP-001,IAM,DEP,CONFLICT,UNRESOLVED,Interview statements describe a change record for every production identity change; the change export shows 3 of 14 emergency changes in the window with no linked record.,The conflict is unresolved. Either the export is incomplete or the practice has an undocumented exception path; the evidence supplied cannot distinguish the two.,EV-SYN-IAM-DEP-INT-015;EV-SYN-IAM-DEP-CHG-016,"Which system of record holds emergency identity changes, and is the supplied export complete for that window?"
FND-SYN-IAM-AI-001,IAM,AI,UNKNOWN,NOT_EVIDENCED,Not assessed. No evidence was supplied for AI readiness in IAM within the engagement window.,"No source of any type was reviewed for this cell. This is a statement about the evidence collected, not about the group.",,"Schedule the AI-readiness session with the IAM group, or record the cell as out of scope by agreement."
