feature,opponent,seed,candidate_seat,baseline_margin,disabled_margin,enabled_margin_effect,enabled_candidate_score_effect,enabled_opponent_score_effect,trace_diverged,baseline_trace_sha256,disabled_trace_sha256
legacy_pair,apex,2609098601,0,8523.0,7836.0,687.0,180.0,-507.0,True,1528eee8e88af9e7298bd875f6b898061c0503012e98bb2194c1bc703329d31a,de1c1d645aa4fa3a32fcec01b98ffac4362a79942d7cc5b4719eb7ff8c3d01d5
legacy_pair,apex,2609098601,1,8523.0,7836.0,687.0,180.0,-507.0,True,51cf9692e56c601631072c0eaf385b2c1680150c915574851b160f74d6b3007b,293747b5cc83ad600fef49c9cfecfd032ad975744c64df1ac1b7fb495e25c8df
legacy_pair,apex,2609098602,0,2943.0,2738.0,205.0,115.0,-90.0,True,e7be2d1ef3a99148604c4a6ce91c33cdd3293fa7c73cdcd416d1aa5babc1d73d,4fe8a0f223712b221d4b3a491b9ccb4320041966c6912baae4cc1162dc12598d
legacy_pair,apex,2609098602,1,2943.0,2738.0,205.0,115.0,-90.0,True,7f78aeb4702db9e6bb28bfa201667ce5811f7ed84d8a3b4fbf30b98b4c524c92,0ee8e1748a636f48bf49f4ad98a9a95ba0188a947dee9e35f4003a4832c9b40c
legacy_pair,apex,2609098603,0,2786.0,2737.0,49.0,27.0,-22.0,True,7f5e01fc78625e8b472a105170b03ecd3a273f03f5ebfbc65221494f0ccc1261,688a7ca276d73b6db606b97b75f6536728d6815e492cb2be67ceb689a502bdfe
legacy_pair,apex,2609098603,1,2786.0,2737.0,49.0,27.0,-22.0,True,b944425b67cdedbdb5ce216ffd528856b99ce9bd21c68e429a15029547a746ad,723850fa3cd61dac575c7b28abb056b665780f9c144948945c8bdb698063022a
legacy_pair,apex,2609098604,0,3142.0,3039.0,103.0,57.0,-46.0,True,333f46e5ab31863269d0a48b1b94ba5a81e697d16e2b3125ccb5dbc949660741,1677a2ad1d059863800ebfc100ef1095712831df88440d7cbc6d4e224d2dcea0
legacy_pair,apex,2609098604,1,3142.0,3039.0,103.0,57.0,-46.0,True,1324fbadbe30f7c678f1656bdcfecc23016dea813bb980d7d6a85a9761ad243e,16ac9f58c0860a08f16bf3305ade9a8f44c7a038b8b17ba54fea17c4b72158f5
legacy_pair,arlene,2609098601,0,2457.0,1557.0,900.0,464.0,-436.0,True,873c0491b1abe30121e2945be4a84a6c476abbbbe70dd665069d9e6db03b8026,21fdbc5eafc7cd0ee228ada9d7f9635a09fe97c0ca587718a949581d665e9fdb
legacy_pair,arlene,2609098601,1,2457.0,1557.0,900.0,464.0,-436.0,True,23e9da135065d086d96add9b014decd08b68fc3852b85b268cfd2aaf349b31ba,a584210a2d1204cfc8c6f21ba857cb2f7d1b260be8a0cd0fce9f85959f791e51
legacy_pair,arlene,2609098602,0,957.0,71.0,886.0,391.0,-495.0,True,3e54ceb76a3f0cc6a51343223baefc9b7ae62ed3f37c0b562cdbfd789568aabd,b46dbf110fc1188561de5c30a57a990c05465ad4061ebec2e0c3509c4cfd7c5b
legacy_pair,arlene,2609098602,1,957.0,71.0,886.0,391.0,-495.0,True,47de4221a6672ca0b379d9fe2d296fda42b6c2771655573db8d32889637e89f2,685ef6a7e47a54ffc296d2b28937c6e103d44e836967067941b441d06d498075
legacy_pair,arlene,2609098603,0,646.0,172.0,474.0,223.0,-251.0,True,7a54fe2cf478a57b362c2d4a68a3c74331fa260881a01943b9f29e9db964b2a0,88866671461d66e535c692d3f3beb8ee722cbac74f29493fefb6a91680626bcd
legacy_pair,arlene,2609098603,1,646.0,172.0,474.0,223.0,-251.0,True,1736e266479e4ba9ee9ccfbf4e8adfcd784a59b567036546f74fb3529e0f0607,2a46dd30e5986bc4fa944b40132e98b4cb9e2fb679279e685c36db98cbec3d30
legacy_pair,arlene,2609098604,0,1569.0,605.0,964.0,420.0,-544.0,True,45c44339f02ef0b4847849a4c1d6faf2df282afc97c748f977d234303c005b59,e6ff55107deda88494be40b066e5c15d7186f1f064f2fd1bbec996e23fcfbc01
legacy_pair,arlene,2609098604,1,1569.0,605.0,964.0,420.0,-544.0,True,84bcd8057a7969cd5e4210c8cb600580946f28e3411c114e66f01010d059f2b2,dc70f0ab959c59d769829838e7fa5c475559cd1b436c43e7e85ea677c36768c5
legacy_pair,kaito,2609098601,0,29813.0,29816.0,-3.0,1.0,4.0,True,7a7802b7e1b078493bceac59c0541de933820ba13b638b133a9dcb000a822a4a,f7e496cca6307364f4d91f80ec583239b1f28cc159e1616da67431c5048c811e
legacy_pair,kaito,2609098601,1,29813.0,29816.0,-3.0,1.0,4.0,True,229758a2d64e2c7bca6ecb86d5ffa9eb958016a9a0640fd8e1afb1059ff4ffe0,f3b8613bf601e285ac0d4469d9e06eeef920771d7514d75b854cfbcf16d86d54
legacy_pair,kaito,2609098602,0,42414.0,42417.0,-3.0,1.0,4.0,True,9163876120f97a9740686e44a458bcd924dc5e43bfefa4e04d7a2490faa750b6,22054f2d6b9258e0df83b2114780cd00f053136926e8c9dc0cec863df7cf45ee
legacy_pair,kaito,2609098602,1,42414.0,42417.0,-3.0,1.0,4.0,True,d2a95943cb2371628bf193a3027cb55f1b99a89dd05c29e4e65986183dc8d815,bdbe05d3a813a769956bfe65478570a92261a75bfe4b00edaf6aebedd89228e9
legacy_pair,kaito,2609098603,0,46118.0,46133.0,-15.0,-2.0,13.0,True,e2e5d5933568fc34409cc9a62c0be042a3f1f101824ae804aa1b98d57ef23182,ddabc6fede2091062a1092b5bb7c037a41a05f8aca63a2cc930b4ed15f59846d
legacy_pair,kaito,2609098603,1,46118.0,46133.0,-15.0,-2.0,13.0,True,a183484dd027505db3ca925d0963d028e71d5a65cba785ea03d5f4605d6246c7,743e4d7babb3de4a5c868da94b3d571ade80770b7313359adc9de071a9823858
legacy_pair,kaito,2609098604,0,45886.0,45886.0,0.0,2.0,2.0,True,8ed1c1dd882be9ddc580a884f5d02e589001827bb856156f3a170ad28498836b,c9e10f723771efb4d70dd7ce02645703125a0e8fec499deb959936698d42ad03
legacy_pair,kaito,2609098604,1,45886.0,45886.0,0.0,2.0,2.0,True,eb66c4ac368feae943909cf465963316cd2188fd9886757faf5130ca036bce82,7a506e07eb8abb546a2df00db97b8e4f057795d228116259affbb9f4e584c26f
legacy_pair,reyhan,2609098601,0,30256.0,30347.0,-91.0,-47.0,44.0,True,d371763db1b26e82d06051611c3191b9fa61bb768b7d0efef24fcc8e6a784c58,372eba6700faffce54a40891570055f0a22d51170c7e4df743742c222ae3cee4
legacy_pair,reyhan,2609098601,1,30256.0,30347.0,-91.0,-47.0,44.0,True,87d3a37b043b155fff3e178a9bcacf0cfb8a2a2e581856dbb2460adccdc346ae,966873a2414050a114b47761c50ed121bb3b2cc38d81ce016d146caedc74fa48
legacy_pair,reyhan,2609098602,0,22888.0,22914.0,-26.0,-12.0,14.0,True,acf0d8fa88bf06473b994e309ab2e4e3bbf4016df91f4dd3dea1121262ceff7a,5dc7d808095dfa040e7da0b7b242e6aa7f37d1dcd7c933efa2a10eb7a0619e76
legacy_pair,reyhan,2609098602,1,22888.0,22914.0,-26.0,-12.0,14.0,True,92f4e028e787925d6d96000702cf5d24efc4e3839e94e2d6b3102e375116a7d9,7fffee1870ce40e84314883693b37b372bd3d8da3957922c92682e16b89bc4a3
legacy_pair,reyhan,2609098603,0,41493.0,41477.0,16.0,11.0,-5.0,True,4f9308d04a84fdb4931c8acf53bc95b918e96adcac0fe87c140a234c3c6eb2d3,567e613354619dc33b4fbc756047d22f2d52db71ffbbfeb4c1bc642a920f18f8
legacy_pair,reyhan,2609098603,1,40779.0,40775.0,4.0,5.0,1.0,True,415f2e8042dae6f8944885f612ea55d7e786c88e1404f6d9005990f0af07848c,ef6f5a696eaa2e059b5266eac98821fa772891d29a8bad0b7cecbca9e03d1312
legacy_pair,reyhan,2609098604,0,34739.0,34746.0,-7.0,1.0,8.0,True,66f56e77a137ad2a27349c7958032c93de88a05611decbc7d9c33c2587984a85,3de17b020f273b0cce291d093d95d0bc551a8c8fe699931bb93fb5125029591c
legacy_pair,reyhan,2609098604,1,34739.0,34746.0,-7.0,1.0,8.0,True,8eb412bd7631eb9758bf0157ef725fbdddd263cb83e303f9f8fd580d22f4e024,fd0790f86c95f2bdbb61b5d84eaf79f6bc1f903ffb3dbbee2df05645902259e1
