profile,opponent,seed,seat,mode,score_0,score_1,margin,steps,native_completed,unit_projection_checks,actions_sha256,observations_sha256,terminal_sha256
orchard,native,17,0,normal,40995.0,109295.0,-68300.0,719,719,4271,f11a6f19f9e9667d50188eeb870446e51ecd775325cd36e8f22899e3eda7657c,413cec07927012add9551381df59af46dc49f6aee4268f299d2f1fff27854c1e,229d06a4598a189fd915fe3cb81b8f0a5e34f486a4f8c6d4fb464bba5ff19944
orchard,native,17,1,normal,109295.0,40995.0,-68300.0,719,719,4271,e361481873746a49e87cd72b489de3e11d97b9c5590afe328e87dcb020d53117,cb30ac5a21dbe363a32165c4135fd4a724df6667feaf88c9e1e2814d168e7352,32f607954573e83814552af93142e24bee093b40d4b7cd67430bff9d8b48e204
fiber,native,17,0,normal,2430.0,142772.0,-140342.0,719,719,4416,62d31fe97060f771969b0c43aa7d16d0e3784b22b822a4d5a1cecd22c60b1fdd,ccaa4e23dd2f3b4897700b374830239f89a25266460425fa819132b103097402,92a63d2b552b7a8d00444514c1ba853b8464b5e7675ba55a85f58e64f11a9660
fiber,native,17,1,normal,142772.0,2430.0,-140342.0,719,719,4416,57c2d02639e26ae13b10a13de57e7b4a39116d226827643859faea95e087d84d,13544d3f9f7a171697189f52af86edc93200b24772b34cb7f1078fc5f652f35a,d8da36f56ab4c3bf69d84dc7d529ec130c36139bb117d89bd2755259e6a66c36
poultry,native,17,0,normal,26853.0,177914.0,-151061.0,719,719,5082,d1a96e6bd29977a692f047df89b92c9b3d720d6f693182d4d94493fe59f0e9f6,3f322bd5af8c2bd7a54be909ed46ad2211b9f3a2f0a9802181ae7f82b2e95615,9db2fa1ba040f620df473f20f7d84af5f71d8d306b0ffa3eb9bba0337eb67d49
poultry,native,17,1,normal,177914.0,26853.0,-151061.0,719,719,5082,360db876d01fb6a274954e1e7d97f1bb77a25c3b632a84adc7be540a0a8e9871,ec7832e54cf3f890ef63df661acdc21234428e6bf9576f23780fab16cb253f69,769020856941fb366d05b6c2609b9aabf2cbcd44499058eb8f2d4c7bdc565e57
dairy,native,17,0,normal,7413.0,116315.0,-108902.0,719,719,4898,9b2c56605544b2d218b0ce3f41534868f4763754b66a3dd89d716d60b211c5ba,4be8fe4ce06d3c3eccaf669f93434a4add16d86a225687ed9f2ccfe8786dda4d,59fcf4687ffdfb9d3231d54fd118b8851682d71a90aed311d5a05c684b2a2003
dairy,native,17,1,normal,116315.0,7413.0,-108902.0,719,719,4898,8c097aebbaf460c91675130e35ef3e514e774d3508f1d599f286f13105efc637,a9d3fef9137ac05aa96eea6f168b3a6f222e4fea55074e712a6b530fab694aa9,69b6ef106dbce7327d68adac952aa33a616ab6e7d85d67ad5cf6a05a14aa0b73
roots,native,17,0,normal,16230.0,179590.0,-163360.0,719,719,2603,0c120fb2c9e0ceec830012df1c6367b5475d6f0f01782aad12dcdfcad35468e6,45ff58e1e4f8aa3da4c87a8d95a5c8d876be86a497cd72338b78dd643161bc75,89057d633ead596f54fc8a21d1866d4eec6be85b72b24478b2261f04db8828ad
roots,native,17,1,normal,179590.0,16230.0,-163360.0,719,719,2603,a3b5eed90ba3ed48ae6410a2045ad8e887a8037c3716c85a1c68f78419b26fa1,d0df21198e202f87b88d5c5f2d6f71d58b09d4ed9d8948d351a2905b6c592998,de62c0c48be0827f2cb1e07e0f0754aa25d8407f3fe83376150c97d812eb4c18
