rank,status,recommendation_id,title,group,area,finding_ids,quality_estimate,security_estimate,delivery_estimate,complexity,benefit,priority_score,blocked_by,non_material_unknowns,estimate_urgency,score_bound_low,score_bound_high,tie_group_size,arithmetic
1,RANKED,REC-SYN-IAM-DEP-001,Reconcile production deployment approvals with the written two-approval procedure,IAM,DEP,FND-SYN-IAM-DEP-001,3,5,3,2,3.8,1.9,,,,,,1,benefit = 0.350x3 + 0.400x5 + 0.250x3 = 3.8; score = 3.8 / 2 = 1.9
2,RANKED,REC-SYN-ESS-SD-001,Extend the required build-and-test status check to the remaining ESS repositories,ESS,SD,FND-SYN-ESS-SD-001,5,2,3,2,3.3,1.65,,,,,,1,benefit = 0.350x5 + 0.400x2 + 0.250x3 = 3.3; score = 3.3 / 2 = 1.65
3,RANKED,REC-SYN-RIS-SEC-001,Re-run the privileged-access review and record the result against the published standard,RIS,SEC,FND-SYN-RIS-SEC-001,1,5,0,2,2.35,1.175,,,,,,1,benefit = 0.350x1 + 0.400x5 + 0.250x0 = 2.35; score = 2.35 / 2 = 1.175
4,RANKED,REC-SYN-ESS-SEC-001,Move the ESS shared service account off a static credential,ESS,SEC,FND-SYN-ESS-SEC-004,0,5,4,3,3.0,1.0,,,,,,2,benefit = 0.350x0 + 0.400x5 + 0.250x4 = 3.0; score = 3.0 / 3 = 1.0
4,RANKED,REC-SYN-RIS-SD-001,Write down the RIS branch and review conventions that are currently held by convention,RIS,SD,FND-SYN-RIS-SD-002,3,3,3,3,3.0,1.0,,,,,,2,benefit = 0.350x3 + 0.400x3 + 0.250x3 = 3.0; score = 3.0 / 3 = 1.0
6,RANKED,REC-SYN-IAM-SEC-001,Consolidate the three group-membership review spreadsheets into one recorded quarterly review,IAM,SEC,FND-SYN-IAM-SEC-003,3,4,1,3,2.9,0.9667,,,,,,1,benefit = 0.350x3 + 0.400x4 + 0.250x1 = 2.9; score = 2.9 / 3 = 0.9667
7,RANKED,REC-SYN-ESS-DEP-001,Generate ESS release notes from the change records instead of by hand,ESS,DEP,FND-SYN-ESS-DEP-002,2,0,4,2,1.7,0.85,,,,,,1,benefit = 0.350x2 + 0.400x0 + 0.250x4 = 1.7; score = 1.7 / 2 = 0.85
8,RANKED,REC-SYN-IAM-AI-001,Define an approval path for AI-assisted changes to IAM configuration,IAM,AI,NONE,2,3,1,4,2.15,0.5375,,,,,,1,benefit = 0.350x2 + 0.400x3 + 0.250x1 = 2.15; score = 2.15 / 4 = 0.5375
NOT_RANKED,NEEDS_ESTIMATE,REC-SYN-ESS-AI-001,Inventory where the ESS group already uses assistive code generation,ESS,AI,FND-SYN-ESS-AI-007,UNKNOWN,2,3,1,UNKNOWN,UNKNOWN,effects.quality,,DECISION_BLOCKING,1.55,3.3,,not computed: effects.quality has no estimate. A missing estimate is not scored as 0.
NOT_RANKED,NEEDS_ESTIMATE,REC-SYN-IAM-SD-001,Replace the manual IAM connector release checklist with a scripted release,IAM,SD,FND-SYN-IAM-SD-005,4,4,5,UNKNOWN,UNKNOWN,UNKNOWN,complexity,,DECISION_BLOCKING,0.85,4.25,,not computed: complexity has no estimate. A missing estimate is not scored as 0.
NOT_RANKED,NEEDS_ESTIMATE,REC-SYN-RIS-DEP-001,Document the RIS maintenance-window handoff between the on-call and platform rotations,RIS,DEP,FND-SYN-RIS-DEP-006,1,UNKNOWN,2,4,UNKNOWN,UNKNOWN,effects.security,,NOT_DECISION_BLOCKING,0.2125,0.7125,,not computed: effects.security has no estimate. A missing estimate is not scored as 0.
