case_id,document_id,variant,event_id,day,kind,minutes,basis
CASE-SYN-IAM-RUNBOOK,DOC-D-B1,BASELINE,EVT-D-B1-1,1,AUTHOR,120.0,SYNTHETIC_RECORD
CASE-SYN-IAM-RUNBOOK,DOC-D-B1,BASELINE,EVT-D-B1-2,2,CHECK,25.0,SYNTHETIC_RECORD
CASE-SYN-IAM-RUNBOOK,DOC-D-B1,BASELINE,EVT-D-B1-3,3,ACCEPT,0.0,SYNTHETIC_RECORD
CASE-SYN-IAM-RUNBOOK,DOC-D-B2,BASELINE,EVT-D-B2-1,1,AUTHOR,115.0,SYNTHETIC_RECORD
CASE-SYN-IAM-RUNBOOK,DOC-D-B2,BASELINE,EVT-D-B2-2,2,CHECK,28.0,SYNTHETIC_RECORD
CASE-SYN-IAM-RUNBOOK,DOC-D-B2,BASELINE,EVT-D-B2-3,3,ACCEPT,0.0,SYNTHETIC_RECORD
CASE-SYN-IAM-RUNBOOK,DOC-D-A1,ASSISTED,EVT-D-A1-1,1,GENERATE,8.0,SYNTHETIC_RECORD
CASE-SYN-IAM-RUNBOOK,DOC-D-A1,ASSISTED,EVT-D-A1-2,1,CHECK,UNKNOWN,UNKNOWN
CASE-SYN-IAM-RUNBOOK,DOC-D-A1,ASSISTED,EVT-D-A1-3,2,ACCEPT,0.0,SYNTHETIC_RECORD
CASE-SYN-IAM-RUNBOOK,DOC-D-A2,ASSISTED,EVT-D-A2-1,1,GENERATE,9.0,SYNTHETIC_RECORD
CASE-SYN-IAM-RUNBOOK,DOC-D-A2,ASSISTED,EVT-D-A2-2,1,CHECK,33.0,SYNTHETIC_RECORD
