case_id,document_id,variant,event_id,day,kind,minutes,basis
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-B1,BASELINE,EVT-B-B1-1,1,AUTHOR,92.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-B1,BASELINE,EVT-B-B1-2,2,CHECK,20.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-B1,BASELINE,EVT-B-B1-3,2,REPAIR,6.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-B1,BASELINE,EVT-B-B1-4,3,ACCEPT,0.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-B2,BASELINE,EVT-B-B2-1,1,AUTHOR,101.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-B2,BASELINE,EVT-B-B2-2,2,CHECK,17.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-B2,BASELINE,EVT-B-B2-3,3,REPAIR,10.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-B2,BASELINE,EVT-B-B2-4,4,ACCEPT,0.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-B3,BASELINE,EVT-B-B3-1,1,AUTHOR,88.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-B3,BASELINE,EVT-B-B3-2,2,CHECK,22.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-B3,BASELINE,EVT-B-B3-3,2,REPAIR,4.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-B3,BASELINE,EVT-B-B3-4,3,ACCEPT,0.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-B3,BASELINE,EVT-B-B3-5,46,MAINTENANCE_EDIT,12.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-B4,BASELINE,EVT-B-B4-1,1,AUTHOR,97.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-B4,BASELINE,EVT-B-B4-2,2,CHECK,19.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-B4,BASELINE,EVT-B-B4-3,2,REPAIR,7.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-B4,BASELINE,EVT-B-B4-4,3,ACCEPT,0.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-A1,ASSISTED,EVT-B-A1-1,1,GENERATE,6.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-A1,ASSISTED,EVT-B-A1-2,1,CHECK,24.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-A1,ASSISTED,EVT-B-A1-3,1,REPAIR,9.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-A1,ASSISTED,EVT-B-A1-4,2,ACCEPT,0.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-A2,ASSISTED,EVT-B-A2-1,1,GENERATE,5.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-A2,ASSISTED,EVT-B-A2-2,1,CHECK,27.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-A2,ASSISTED,EVT-B-A2-3,2,REPAIR,6.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-A2,ASSISTED,EVT-B-A2-4,2,ACCEPT,0.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-A2,ASSISTED,EVT-B-A2-5,51,MAINTENANCE_EDIT,10.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-A3,ASSISTED,EVT-B-A3-1,1,GENERATE,7.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-A3,ASSISTED,EVT-B-A3-2,1,CHECK,21.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-A3,ASSISTED,EVT-B-A3-3,2,REPAIR,12.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-A3,ASSISTED,EVT-B-A3-4,2,ACCEPT,0.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-A4,ASSISTED,EVT-B-A4-1,1,GENERATE,6.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-A4,ASSISTED,EVT-B-A4-2,1,CHECK,25.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-A4,ASSISTED,EVT-B-A4-3,1,REPAIR,8.0,SYNTHETIC_RECORD
CASE-SYN-ESS-CHANGE-MEMO,DOC-B-A4,ASSISTED,EVT-B-A4-4,2,ACCEPT,0.0,SYNTHETIC_RECORD
