# PROVENANCE: SYNTHETIC. FICTION. Northgate State University does not exist. Every item, estimate and prerequisite below is invented to exercise the dependency and capacity engine. Nothing here is a University of Iowa finding, recommendation, or plan.
scenario,effort_point,capacity_multiplier,item,rec,title,owner_role,level,prerequisites,proposed_phase,scheduled_phase,moved_reason,effort_unknown
constrained,high,0.75,RM-01,R-001,Record the approver pair on every IAM deployment,iam_service_owner,0,,0-90,0-90,,
constrained,high,0.75,RM-02,R-001,Enforce the two-approval rule in the deployment pipeline,pipeline_engineer,1,RM-01,0-90,90-180,role capacity,
constrained,high,0.75,RM-03,R-003,Record a named routing owner for each ESS service alert,monitoring_owner,0,,0-90,0-90,,
constrained,high,0.75,RM-04,R-003,Review the routing table at each ESS service change,monitoring_owner,1,RM-03,90-180,90-180,,
constrained,high,0.75,RM-05,R-002,Inventory critical RIS datasets and agree a restore target,ris_service_owner,0,,0-90,0-90,,
constrained,high,0.75,RM-06,R-002,Run one documented restoration exercise per critical dataset,infra_operations,1,RM-05,90-180,90-180,,infra_operations
constrained,high,0.75,RM-07,R-002,Record the measured recovery time and publish it with the backup report,ris_service_owner,2,RM-06,90-180,180+,role capacity,
constrained,high,0.75,RM-08,R-004,Extend the approval-record practice to the remaining service groups,change_management_lead,3,RM-02;RM-07,180+,180+,,
constrained,high,0.75,RM-09,R-004,Publish a combined practice note covering approvals and restoration,change_management_lead,4,RM-08,180+,BEYOND_HORIZON,no phase in the horizon has capacity for every role this item needs,
expected,likely,1.0,RM-01,R-001,Record the approver pair on every IAM deployment,iam_service_owner,0,,0-90,0-90,,
expected,likely,1.0,RM-02,R-001,Enforce the two-approval rule in the deployment pipeline,pipeline_engineer,1,RM-01,0-90,90-180,role capacity,
expected,likely,1.0,RM-03,R-003,Record a named routing owner for each ESS service alert,monitoring_owner,0,,0-90,0-90,,
expected,likely,1.0,RM-04,R-003,Review the routing table at each ESS service change,monitoring_owner,1,RM-03,90-180,90-180,,
expected,likely,1.0,RM-05,R-002,Inventory critical RIS datasets and agree a restore target,ris_service_owner,0,,0-90,0-90,,
expected,likely,1.0,RM-06,R-002,Run one documented restoration exercise per critical dataset,infra_operations,1,RM-05,90-180,90-180,,infra_operations
expected,likely,1.0,RM-07,R-002,Record the measured recovery time and publish it with the backup report,ris_service_owner,2,RM-06,90-180,90-180,,
expected,likely,1.0,RM-08,R-004,Extend the approval-record practice to the remaining service groups,change_management_lead,3,RM-02;RM-07,180+,180+,,
expected,likely,1.0,RM-09,R-004,Publish a combined practice note covering approvals and restoration,change_management_lead,4,RM-08,180+,180+,,
invested,low,1.4,RM-01,R-001,Record the approver pair on every IAM deployment,iam_service_owner,0,,0-90,0-90,,
invested,low,1.4,RM-02,R-001,Enforce the two-approval rule in the deployment pipeline,pipeline_engineer,1,RM-01,0-90,0-90,,
invested,low,1.4,RM-03,R-003,Record a named routing owner for each ESS service alert,monitoring_owner,0,,0-90,0-90,,
invested,low,1.4,RM-04,R-003,Review the routing table at each ESS service change,monitoring_owner,1,RM-03,90-180,90-180,,
invested,low,1.4,RM-05,R-002,Inventory critical RIS datasets and agree a restore target,ris_service_owner,0,,0-90,0-90,,
invested,low,1.4,RM-06,R-002,Run one documented restoration exercise per critical dataset,infra_operations,1,RM-05,90-180,90-180,,infra_operations
invested,low,1.4,RM-07,R-002,Record the measured recovery time and publish it with the backup report,ris_service_owner,2,RM-06,90-180,90-180,,
invested,low,1.4,RM-08,R-004,Extend the approval-record practice to the remaining service groups,change_management_lead,3,RM-02;RM-07,180+,180+,,
invested,low,1.4,RM-09,R-004,Publish a combined practice note covering approvals and restoration,change_management_lead,4,RM-08,180+,180+,,
