# PROVENANCE: SYNTHETIC. FICTION. Northgate State University does not exist. Every item, estimate and prerequisite below is invented to exercise the dependency and capacity engine. Nothing here is a University of Iowa finding, recommendation, or plan.
scenario,view,role,phase,capacity,demand_known,unknown_items,verdict,shortfall,headroom
constrained,proposed,change_management_lead,0-90,30.0,0.0,,FEASIBLE,,30.0
constrained,proposed,change_management_lead,90-180,45.0,0.0,,FEASIBLE,,45.0
constrained,proposed,change_management_lead,180+,120.0,142.0,,INFEASIBLE,22.0,
constrained,proposed,iam_service_owner,0-90,67.5,88.0,,INFEASIBLE,20.5,
constrained,proposed,iam_service_owner,90-180,67.5,0.0,,FEASIBLE,,67.5
constrained,proposed,iam_service_owner,180+,45.0,0.0,,FEASIBLE,,45.0
constrained,proposed,infra_operations,0-90,36.0,32.0,,FEASIBLE,,4.0
constrained,proposed,infra_operations,90-180,48.0,0.0,RM-06,UNKNOWN,,
constrained,proposed,infra_operations,180+,36.0,0.0,,FEASIBLE,,36.0
constrained,proposed,monitoring_owner,0-90,30.0,28.0,,FEASIBLE,,2.0
constrained,proposed,monitoring_owner,90-180,30.0,20.0,,FEASIBLE,,10.0
constrained,proposed,monitoring_owner,180+,18.0,0.0,,FEASIBLE,,18.0
constrained,proposed,pipeline_engineer,0-90,105.0,184.0,,INFEASIBLE,79.0,
constrained,proposed,pipeline_engineer,90-180,105.0,0.0,,FEASIBLE,,105.0
constrained,proposed,pipeline_engineer,180+,75.0,72.0,,FEASIBLE,,3.0
constrained,proposed,ris_service_owner,0-90,45.0,40.0,,FEASIBLE,,5.0
constrained,proposed,ris_service_owner,90-180,45.0,60.0,,INFEASIBLE,15.0,
constrained,proposed,ris_service_owner,180+,30.0,0.0,,FEASIBLE,,30.0
constrained,feasible,change_management_lead,0-90,30.0,0.0,,FEASIBLE,,30.0
constrained,feasible,change_management_lead,90-180,45.0,0.0,,FEASIBLE,,45.0
constrained,feasible,change_management_lead,180+,120.0,110.0,,FEASIBLE,,10.0
constrained,feasible,iam_service_owner,0-90,67.5,64.0,,FEASIBLE,,3.5
constrained,feasible,iam_service_owner,90-180,67.5,24.0,,FEASIBLE,,43.5
constrained,feasible,iam_service_owner,180+,45.0,0.0,,FEASIBLE,,45.0
constrained,feasible,infra_operations,0-90,36.0,32.0,,FEASIBLE,,4.0
