case_id,document_id,variant,event_id,day,kind,minutes,basis
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-B1,BASELINE,EVT-U-B1-1,1,AUTHOR,86.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-B1,BASELINE,EVT-U-B1-2,2,CHECK,16.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-B1,BASELINE,EVT-U-B1-3,2,REPAIR,5.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-B1,BASELINE,EVT-U-B1-4,3,ACCEPT,0.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-B2,BASELINE,EVT-U-B2-1,1,AUTHOR,90.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-B2,BASELINE,EVT-U-B2-2,2,CHECK,14.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-B2,BASELINE,EVT-U-B2-3,2,REPAIR,8.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-B2,BASELINE,EVT-U-B2-4,3,ACCEPT,0.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-B3,BASELINE,EVT-U-B3-1,1,AUTHOR,82.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-B3,BASELINE,EVT-U-B3-2,2,CHECK,18.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-B3,BASELINE,EVT-U-B3-3,2,REPAIR,6.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-B3,BASELINE,EVT-U-B3-4,3,ACCEPT,0.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-B4,BASELINE,EVT-U-B4-1,1,AUTHOR,94.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-B4,BASELINE,EVT-U-B4-2,2,CHECK,15.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-B4,BASELINE,EVT-U-B4-3,2,REPAIR,4.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-B4,BASELINE,EVT-U-B4-4,3,ACCEPT,0.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-A1,ASSISTED,EVT-U-A1-1,1,GENERATE,4.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-A1,ASSISTED,EVT-U-A1-2,1,CHECK,45.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-A1,ASSISTED,EVT-U-A1-3,2,REPAIR,31.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-A1,ASSISTED,EVT-U-A1-4,3,ACCEPT,0.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-A1,ASSISTED,EVT-U-A1-5,19,REWORK_AFTER_ACCEPT,38.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-A2,ASSISTED,EVT-U-A2-1,1,GENERATE,3.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-A2,ASSISTED,EVT-U-A2-2,1,CHECK,49.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-A2,ASSISTED,EVT-U-A2-3,2,REPAIR,34.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-A2,ASSISTED,EVT-U-A2-4,3,ACCEPT,0.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-A2,ASSISTED,EVT-U-A2-5,22,REWORK_AFTER_ACCEPT,41.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-A2,ASSISTED,EVT-U-A2-6,58,MAINTENANCE_EDIT,12.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-A3,ASSISTED,EVT-U-A3-1,1,GENERATE,5.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-A3,ASSISTED,EVT-U-A3-2,1,CHECK,46.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-A3,ASSISTED,EVT-U-A3-3,2,REPAIR,29.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-A3,ASSISTED,EVT-U-A3-4,3,ACCEPT,0.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-A3,ASSISTED,EVT-U-A3-5,25,REWORK_AFTER_ACCEPT,36.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-A4,ASSISTED,EVT-U-A4-1,1,GENERATE,4.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-A4,ASSISTED,EVT-U-A4-2,1,CHECK,47.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-A4,ASSISTED,EVT-U-A4-3,2,REPAIR,30.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-A4,ASSISTED,EVT-U-A4-4,3,ACCEPT,0.0,SYNTHETIC_RECORD
CASE-SYN-RIS-VENDOR-SUMMARY,DOC-U-A4,ASSISTED,EVT-U-A4-5,21,REWORK_AFTER_ACCEPT,40.0,SYNTHETIC_RECORD
