# SYNTHETIC FIXTURE - fictional data authored for the UIOWA-092 rehearsal. Not a University record.
deploy_id,repo,deployed_on,weekday,rolled_back,documented_exception
DEP-SYN-ESS-0801,ess-app-alpha,2026-08-04,Tuesday,false,
DEP-SYN-ESS-0802,ess-app-beta,2026-08-06,Thursday,false,
DEP-SYN-ESS-0803,ess-app-gamma,2026-08-07,Friday,false,
DEP-SYN-ESS-0804,ess-app-alpha,2026-08-11,Tuesday,true,
DEP-SYN-ESS-0805,ess-app-beta,2026-08-13,Thursday,false,
DEP-SYN-ESS-0806,ess-app-gamma,2026-08-14,Friday,false,
DEP-SYN-ESS-0807,ess-app-alpha,2026-08-18,Tuesday,false,
DEP-SYN-ESS-0808,ess-app-beta,2026-08-20,Thursday,false,
DEP-SYN-ESS-0809,ess-app-alpha,2026-08-21,Friday,false,
DEP-SYN-ESS-0810,ess-app-gamma,2026-08-25,Tuesday,false,
DEP-SYN-ESS-0811,ess-app-beta,2026-08-27,Thursday,true,
DEP-SYN-ESS-0812,ess-app-alpha,2026-08-28,Friday,false,EXC-SYN-ESS-02
DEP-SYN-ESS-0813,ess-app-gamma,2026-08-28,Friday,false,EXC-SYN-ESS-03
DEP-SYN-ESS-0814,ess-app-beta,2026-08-31,Monday,false,EXC-SYN-ESS-04
