budget_minutes,step,request_id,effort_minutes,marginal_priority,cumulative_minutes,marginal_question_ids
60,1,request:EV-SYN-IAM-DEP-POL-004,30,8,30,"[""conflict:CG-SYN-IAM-DEP-01"", ""follow-up:EV-SYN-IAM-DEP-POL-004""]"
60,2,request:EV-SYN-ESS-SD-INT-001,20,3,50,"[""follow-up:EV-SYN-ESS-SD-INT-001""]"
120,1,request:EV-SYN-IAM-DEP-POL-004,30,8,30,"[""conflict:CG-SYN-IAM-DEP-01"", ""follow-up:EV-SYN-IAM-DEP-POL-004""]"
120,2,request:EV-SYN-ESS-SD-INT-001,20,3,50,"[""follow-up:EV-SYN-ESS-SD-INT-001""]"
120,3,request:EV-SYN-IAM-DEP-CHG-005,40,3,90,"[""follow-up:EV-SYN-IAM-DEP-CHG-005""]"
240,1,request:EV-SYN-IAM-DEP-POL-004,30,8,30,"[""conflict:CG-SYN-IAM-DEP-01"", ""follow-up:EV-SYN-IAM-DEP-POL-004""]"
240,2,request:EV-SYN-ESS-SD-INT-001,20,3,50,"[""follow-up:EV-SYN-ESS-SD-INT-001""]"
240,3,request:EV-SYN-IAM-DEP-CHG-005,40,3,90,"[""follow-up:EV-SYN-IAM-DEP-CHG-005""]"
240,4,request:EV-SYN-RIS-AI-SRCH-007,60,4,150,"[""follow-up:EV-SYN-RIS-AI-SRCH-007""]"
240,5,request:EV-SYN-RIS-SEC-POL-003,60,3,210,"[""follow-up:EV-SYN-RIS-SEC-POL-003""]"
