case_id,metric,value,basis
CASE-SYN-RIS-VENDOR-SUMMARY,verdict,UNFAVOURABLE,MODELED_SYNTHETIC
CASE-SYN-RIS-VENDOR-SUMMARY,headline_generation_speedup_x,22.0,MODELED_SYNTHETIC
CASE-SYN-RIS-VENDOR-SUMMARY,net_minutes_per_document.low,-33.0,MODELED_SYNTHETIC
CASE-SYN-RIS-VENDOR-SUMMARY,net_minutes_per_document.mid,-14.0,MODELED_SYNTHETIC
CASE-SYN-RIS-VENDOR-SUMMARY,net_minutes_per_document.high,-3.0,MODELED_SYNTHETIC
CASE-SYN-RIS-VENDOR-SUMMARY,modeled_capacity_value_over_horizon.low,-21780.0,MODELED_SYNTHETIC
CASE-SYN-RIS-VENDOR-SUMMARY,modeled_capacity_value_over_horizon.nominal,-5712.0,MODELED_SYNTHETIC
CASE-SYN-RIS-VENDOR-SUMMARY,modeled_capacity_value_over_horizon.high,-756.0,MODELED_SYNTHETIC
CASE-SYN-RIS-VENDOR-SUMMARY,modeled_capacity_hours_over_horizon,-67.2,MODELED_SYNTHETIC
CASE-SYN-RIS-VENDOR-SUMMARY,cash_cost_over_horizon,UNKNOWN,UNKNOWN
CASE-SYN-RIS-VENDOR-SUMMARY,cash_savings_over_horizon,UNKNOWN,UNKNOWN
CASE-SYN-RIS-VENDOR-SUMMARY,realized_opportunity_value_over_horizon,UNKNOWN,UNKNOWN
CASE-SYN-RIS-VENDOR-SUMMARY,quality_risk,True,MODELED_SYNTHETIC
