change_id,group,stage_order,stage_name,documented_expected,observed_activity,status,owner_role,handoff_from,handoff_to,queue_enter,work_start,work_end,queue_wait_hours,active_hours,evidence_ref,evidence_type,evidence_semantics,exception_type,gap_or_conflict,follow_up_question
SYN-041-001,ESS-SYN,1,Intake,"Request recorded with requester, problem statement, affected users, and desired outcome","Fictional request RQ-041-17 contains requester, problem statement, and desired outcome",SUPPORTED,Business analyst,Requester,Business analyst,2026-08-03T09:12:00-05:00,2026-08-03T09:20:00-05:00,2026-08-03T09:31:00-05:00,0.13,0.18,RQ-041-17,ticket,"Establishes fictional intake content and timestamps",none,,""
SYN-041-001,ESS-SYN,2,Triage,"Priority, scope, owner, and path selected","Triage decision selects routine path initially and assigns product owner",SUPPORTED,Product owner,Business analyst,Product owner,2026-08-03T09:31:00-05:00,2026-08-03T13:00:00-05:00,2026-08-03T13:18:00-05:00,3.48,0.30,TRIAGE-041-17,ticket,"Establishes fictional priority, scope, and owner decision",none,,""
SYN-041-001,ESS-SYN,3,Need and acceptance,"Acceptance criteria approved before implementation","Three criteria recorded; one later changes after dependency discovery",PARTIAL,Product owner,Product owner,Developer,2026-08-03T13:18:00-05:00,2026-08-04T09:10:00-05:00,2026-08-04T10:00:00-05:00,19.87,0.83,AC-041-17,document,"Establishes initial fictional criteria but not later approval authority",none,"Criterion AC-3 changed later; approval of revised wording is not in this artifact","Where is the decision record approving revised AC-3?"
SYN-041-001,ESS-SYN,4,Design,"Dependencies and risk captured before build","Design note records a fictional cross-team access dependency and consultation",SUPPORTED,Developer,Product owner,Developer,2026-08-04T10:00:00-05:00,2026-08-04T10:20:00-05:00,2026-08-04T11:05:00-05:00,0.33,0.75,DES-041-17,document,"Establishes fictional dependency analysis and consultation outcome",none,,""
SYN-041-001,ESS-SYN,5,Implementation,"Change linked to request and criteria","Commit metadata and change record link to RQ-041-17 and AC-041-17",SUPPORTED,Developer,Developer,Reviewer,2026-08-04T11:05:00-05:00,2026-08-04T13:15:00-05:00,2026-08-05T10:42:00-05:00,2.17,21.45,CHG-041-17,system record,"Establishes fictional implementation linkage and completion timestamp",none,,""
SYN-041-001,ESS-SYN,6,Peer review,"A qualified peer reviews behavior and risks","Review contains two substantive comments; both have recorded resolution",SUPPORTED,Reviewer,Developer,Developer,2026-08-05T10:42:00-05:00,2026-08-05T11:10:00-05:00,2026-08-05T13:02:00-05:00,0.47,1.87,REV-041-17,system record,"Establishes fictional reviewer comments and dispositions",none,,""
SYN-041-001,ESS-SYN,7,Verification,"Applicable automated or manual checks pass with results retained","Unit and integration checks retained; one initial failure followed by a passing rerun with linked defect note",SUPPORTED,Developer,Reviewer,Product owner,2026-08-05T13:02:00-05:00,2026-08-05T13:08:00-05:00,2026-08-05T14:04:00-05:00,0.10,0.93,TEST-041-17,system record,"Establishes fictional test outcomes including failed first run and rerun",none,,""
SYN-041-001,ESS-SYN,8,User or business acceptance,"Business acceptance retained when required","No acceptance artifact is present in the fictional sampled package",UNKNOWN,Product owner,Developer,Release approver,,,,,,,"","No source in the sampled package establishes whether acceptance occurred",none,"Evidence absent; absence does not establish that acceptance did not happen","Was acceptance required, and if so where is the authoritative record?"
SYN-041-001,ESS-SYN,9,Release authorization,"Normal authorization unless exception criteria are met","Fictional urgent-maintenance authorization cites user impact and time constraint; approver recorded",SUPPORTED,Release approver,Product owner,Operations,2026-08-05T14:04:00-05:00,2026-08-05T14:20:00-05:00,2026-08-05T14:28:00-05:00,0.27,0.13,EXC-041-17,document,"Establishes fictional exception rationale and approval",urgent,,""
SYN-041-001,ESS-SYN,10,Deployment or activation,"Authorized change activated with time and responsible role recorded","Activation record identifies fictional version and activation timestamp",SUPPORTED,Operations,Release approver,Operations,2026-08-05T14:28:00-05:00,2026-08-05T14:32:00-05:00,2026-08-05T14:41:00-05:00,0.07,0.15,DEP-041-17,system record,"Establishes fictional activation event, version, and timestamp",urgent,,""
SYN-041-001,ESS-SYN,11,Post-change validation,"Defined success checks run after activation","Validation note says looks good and records timestamp but no explicit success criteria or checked behavior",PARTIAL,Operations,Operations,Support,2026-08-05T14:41:00-05:00,2026-08-05T14:43:00-05:00,2026-08-05T14:48:00-05:00,0.03,0.08,VAL-041-17,document,"Establishes that a fictional check was recorded, not what it proved",urgent,"Success criteria are undefined","Which checks were required, what results were observed, and what would have triggered rollback?"
SYN-041-001,ESS-SYN,12,Support handoff,"Support ownership, user-facing behavior, limitations, and documentation are current","Interview says support article was ready before activation; fictional article metadata shows publication afterward",CONFLICT,Support lead,Operations,Support,2026-08-05T14:48:00-05:00,2026-08-05T14:50:00-05:00,2026-08-05T15:12:00-05:00,0.03,0.37,"INT-041-02;DOC-041-17","interview;document","Interview establishes a statement; metadata establishes fictional publication time",urgent,"Timing of documentation readiness conflicts across sources","Was a draft or internal note available before activation, and which record is authoritative?"
SYN-041-001,ESS-SYN,13,Follow-up and learning,"Urgent exception receives follow-up and defects or actions are linked","Follow-up records revised criterion decision and an action to clarify validation criteria for future urgent changes",SUPPORTED,Product owner,Support,Product owner,2026-08-05T15:12:00-05:00,2026-08-06T09:00:00-05:00,2026-08-06T09:32:00-05:00,17.80,0.53,FUP-041-17,document,"Establishes fictional follow-up decisions and actions; not later completion of the improvement action",urgent,,"Where will completion evidence for the improvement action be retained?"
