case_id,metric,value,basis
CASE-SYN-IAM-RUNBOOK,verdict,UNDECIDABLE,MODELED_SYNTHETIC
CASE-SYN-IAM-RUNBOOK,headline_generation_speedup_x,UNKNOWN,UNKNOWN
CASE-SYN-IAM-RUNBOOK,net_minutes_per_document.low,UNKNOWN,UNKNOWN
CASE-SYN-IAM-RUNBOOK,net_minutes_per_document.mid,UNKNOWN,UNKNOWN
CASE-SYN-IAM-RUNBOOK,net_minutes_per_document.high,UNKNOWN,UNKNOWN
CASE-SYN-IAM-RUNBOOK,modeled_capacity_value_over_horizon.low,UNKNOWN,UNKNOWN
CASE-SYN-IAM-RUNBOOK,modeled_capacity_value_over_horizon.nominal,UNKNOWN,UNKNOWN
CASE-SYN-IAM-RUNBOOK,modeled_capacity_value_over_horizon.high,UNKNOWN,UNKNOWN
CASE-SYN-IAM-RUNBOOK,modeled_capacity_hours_over_horizon,UNKNOWN,UNKNOWN
CASE-SYN-IAM-RUNBOOK,cash_cost_over_horizon,UNKNOWN,UNKNOWN
CASE-SYN-IAM-RUNBOOK,cash_savings_over_horizon,UNKNOWN,UNKNOWN
CASE-SYN-IAM-RUNBOOK,realized_opportunity_value_over_horizon,UNKNOWN,UNKNOWN
CASE-SYN-IAM-RUNBOOK,quality_risk,True,MODELED_SYNTHETIC
