panel,seed,seat,arm,opponent,own_cash,rival_cash,margin,outcome,selected_plans,changed_actions_vs_sell,paired_margin_delta
v1-development,9840001,0,arlene,apex,55137.0,36493.0,18644.0,W,0,,
v1-development,9840001,1,arlene,apex,55137.0,36493.0,18644.0,W,0,,
v1-development,9840001,0,arlene,arlene,52558.0,52558.0,0.0,T,0,,
v1-development,9840001,1,arlene,arlene,52558.0,52558.0,0.0,T,0,,
v1-development,9840001,0,response,apex,55364.0,36478.0,18886.0,W,1,2,-132.0
v1-development,9840001,1,response,apex,55364.0,36478.0,18886.0,W,1,2,-132.0
v1-development,9840001,0,response,arlene,52714.0,52459.0,255.0,W,3,4,-70.0
v1-development,9840001,1,response,arlene,52714.0,52459.0,255.0,W,3,4,-70.0
v1-development,9840001,0,sell,apex,55431.0,36413.0,19018.0,W,0,,
v1-development,9840001,1,sell,apex,55431.0,36413.0,19018.0,W,0,,
v1-development,9840001,0,sell,arlene,52754.0,52429.0,325.0,W,0,,
v1-development,9840001,1,sell,arlene,52754.0,52429.0,325.0,W,0,,
v2-development,9840001,0,arlene,apex,55137.0,36493.0,18644.0,W,0,,
v2-development,9840001,1,arlene,apex,55137.0,36493.0,18644.0,W,0,,
v2-development,9840019,0,arlene,apex,71436.0,67905.0,3531.0,W,0,,
v2-development,9840019,1,arlene,apex,71436.0,67905.0,3531.0,W,0,,
v2-development,9840037,0,arlene,apex,100879.0,96313.0,4566.0,W,0,,
v2-development,9840037,1,arlene,apex,100879.0,96313.0,4566.0,W,0,,
v2-development,9840001,0,arlene,arlene,52558.0,52558.0,0.0,T,0,,
v2-development,9840001,1,arlene,arlene,52558.0,52558.0,0.0,T,0,,
v2-development,9840019,0,arlene,arlene,70685.0,70685.0,0.0,T,0,,
v2-development,9840019,1,arlene,arlene,70685.0,70685.0,0.0,T,0,,
v2-development,9840037,0,arlene,arlene,98959.0,98959.0,0.0,T,0,,
v2-development,9840037,1,arlene,arlene,98959.0,98959.0,0.0,T,0,,
v2-development,9840001,0,response,apex,55429.0,36415.0,19014.0,W,2,2,-4.0
v2-development,9840001,1,response,apex,55429.0,36415.0,19014.0,W,2,2,-4.0
v2-development,9840019,0,response,apex,71460.0,67385.0,4075.0,W,1,0,0.0
v2-development,9840019,1,response,apex,71460.0,67385.0,4075.0,W,1,0,0.0
v2-development,9840037,0,response,apex,102339.0,97865.0,4474.0,W,0,0,0.0
v2-development,9840037,1,response,apex,102339.0,97865.0,4474.0,W,0,0,0.0
v2-development,9840001,0,response,arlene,52754.0,52429.0,325.0,W,1,2,0.0
v2-development,9840001,1,response,arlene,52754.0,52429.0,325.0,W,1,2,0.0
v2-development,9840019,0,response,arlene,70960.0,70346.0,614.0,W,0,0,0.0
v2-development,9840019,1,response,arlene,70960.0,70346.0,614.0,W,0,0,0.0
v2-development,9840037,0,response,arlene,101631.0,99806.0,1825.0,W,0,0,0.0
v2-development,9840037,1,response,arlene,101631.0,99806.0,1825.0,W,0,0,0.0
v2-development,9840001,0,sell,apex,55431.0,36413.0,19018.0,W,0,,
v2-development,9840001,1,sell,apex,55431.0,36413.0,19018.0,W,0,,
v2-development,9840019,0,sell,apex,71460.0,67385.0,4075.0,W,0,,
v2-development,9840019,1,sell,apex,71460.0,67385.0,4075.0,W,0,,
v2-development,9840037,0,sell,apex,102339.0,97865.0,4474.0,W,0,,
v2-development,9840037,1,sell,apex,102339.0,97865.0,4474.0,W,0,,
v2-development,9840001,0,sell,arlene,52754.0,52429.0,325.0,W,0,,
v2-development,9840001,1,sell,arlene,52754.0,52429.0,325.0,W,0,,
v2-development,9840019,0,sell,arlene,70960.0,70346.0,614.0,W,0,,
